;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,85%;3,43%;3,57%;2,99%;2,06%;2,65%;1,70%;2,39%;1,20%
Div;0.5;1.97;1.92;1.86;1.8;1.71;1.55;1.28;0.97
P/L;43.86;25.57;-29.61;5.52;10.37;11.41;16.8;6.57;16.79
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;1,15;1,11;1,06;1,15;1,77;1,53;2,38;1,53;2,83
EV/EBITDA;11,01;9,60;27,68;-;-;7,83;11,37;7,33;10,81
EV/EBIT;23,31;18,14;-87,07;5,33;8,50;10,93;15,77;9,61;13,65
P/EBITDA;8,06;6,88;18,89;-;-;5,60;8,46;4,91;8,12
P/EBIT;17,07;13,01;-59,41;4,03;7,19;7,82;11,73;6,44;10,25
VPA;51,22;51,63;50,79;54,20;49,26;42,18;38,18;35,02;28,69
P/Ativo;0,57;0,55;0,53;0,62;0,87;0,68;1,01;0,67;1,06
LPA;1.34;2.25;-1.82;11.28;8.41;5.65;5.42;8.12;4.83
P/SR;0,38;0,38;0,36;0,43;0,67;0,54;0,78;0,49;0,78
P/Cap. Giro;5,89;4,12;8,63;4,84;9,03;6,99;22,52;29,72;13,38
P/Ativo Circ. Liq.;-0,78;-0,75;-0,70;-0,83;-1,19;-0,88;-1,28;-0,83;-1,37
Dív. líquida/PL;0,42;0,44;0,49;0,37;0,32;0,61;0,82;0,75;0,94
Dív. líquida/EBITDA;2,95;2,71;8,79;-;-;2,23;2,91;2,42;2,69
Dív. líquida/EBIT;6,24;5,13;-27,66;1,30;1,31;3,12;4,04;3,17;3,40
PL/Ativos;0,49;0,50;0,50;0,54;0,49;0,45;0,42;0,44;0,38
Passivos/Ativos;0,51;0,50;0,50;0,46;0,51;0,55;0,58;0,56;0,62
Liq. corrente;1,55;2,04;1,34;1,99;1,55;1,79;1,27;1,13;1,55
M. Bruta;6,54%;6,80%;4,98%;14,97%;13,87%;12,47%;11,84%;12,72%;13,23%
M. EBITDA;4,74%;5,58%;1,92%;-%;-%;9,73%;9,28%;9,92%;9,59%
M. EBIT;2,24%;2,95%;-0,61%;10,61%;9,34%;6,97%;6,69%;7,57%;7,60%
M. Líquida;0,87%;1,50%;-1,23%;7,75%;6,48%;4,77%;4,67%;7,42%;4,64%
ROE;2,62%;4,35%;-3,57%;20,81%;17,07%;13,40%;14,19%;23,20%;16,83%
ROA;1,29%;2,16%;-1,79%;11,19%;8,39%;5,98%;6,01%;10,20%;6,32%
ROIC;3,55%;4,62%;-1,27%;15,51%;13,07%;9,23%;9,49%;12,09%;9,92%
Giro ativos;1,49;1,44;1,46;1,44;1,30;1,25;1,29;1,38;1,36
CAGR Receitas 5 anos;5,89%;6,69%;4,99%;4,99%;0,86%;2,45%;3,10%;2,97%;2,86%
CAGR Lucros 5 anos;-23,08%;-%;11,50%;11,50%;11,06%;18,04%;30,72%;24,93%;18,71%
