;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,02%;0,10%;0,10%;0,47%;0,10%;0,17%;0,18%;0,17%;0,14%
Div;0.02;0.08;0.08;0.33;0.08;0.08;0.08;0.08;0.08
P/L;18.6;16.98;16.84;16.96;22.45;35.8;12.49;9.14;48.56
PEG Ratio;-0,38;-;-;-;-;-;-;-;-
P/VP;2,05;1,94;2,22;2,05;2,46;1,89;1,85;2,15;2,64
EV/EBITDA;32,05;11,35;11,04;10,61;-;14,03;8,11;6,97;12,69
EV/EBIT;112,08;15,52;14,78;14,36;20,61;24,74;11,26;8,94;18,76
P/EBITDA;28,02;9,84;9,95;9,60;-;12,25;6,84;5,62;10,78
P/EBIT;97,99;13,46;13,33;13,00;19,38;21,60;9,50;7,21;15,93
VPA;42,52;39,37;36,22;34,50;31,42;25,54;24,17;21,37;21,44
P/Ativo;0,89;0,83;0,92;0,90;1,06;0,72;0,68;0,78;0,97
LPA;4.69;4.5;4.77;4.18;3.44;1.35;3.57;5.03;1.17
P/SR;1,08;1,02;1,13;1,13;1,35;0,95;0,75;0,80;1,05
P/Cap. Giro;4,75;5,08;4,51;3,84;3,41;2,22;2,50;3,46;4,20
P/Ativo Circ. Liq.;-1,61;-1,44;-1,72;-1,66;-2,15;-1,54;-1,43;-1,48;-1,83
Dív. líquida/PL;0,30;0,30;0,24;0,21;0,16;0,27;0,34;0,52;0,47
Dív. líquida/EBITDA;4,03;1,51;1,09;1,00;-;1,78;1,27;1,35;1,92
Dív. líquida/EBIT;14,09;2,06;1,45;1,36;1,23;3,14;1,76;1,73;2,83
PL/Ativos;0,43;0,43;0,41;0,44;0,43;0,38;0,37;0,36;0,37
Passivos/Ativos;0,57;0,57;0,59;0,56;0,57;0,62;0,63;0,64;0,63
Liq. corrente;1,71;1,63;1,79;2,04;2,57;2,52;2,06;1,92;1,97
M. Bruta;3,69%;18,26%;20,81%;16,08%;16,84%;13,36%;16,32%;17,02%;16,70%
M. EBITDA;3,86%;10,38%;11,39%;11,81%;-%;7,75%;10,92%;14,22%;9,74%
M. EBIT;1,10%;7,59%;8,51%;8,73%;6,98%;4,39%;7,87%;11,09%;6,59%
M. Líquida;5,81%;6,01%;6,73%;6,69%;6,02%;2,65%;5,98%;8,75%;2,16%
ROE;11,04%;11,44%;13,18%;12,10%;10,95%;5,29%;14,77%;23,54%;5,44%
ROA;4,76%;4,89%;5,46%;5,28%;4,71%;2,00%;5,43%;8,57%;2,00%
ROIC;-0,04%;8,54%;9,20%;9,08%;7,38%;5,00%;10,78%;15,46%;5,02%
Giro ativos;0,82;0,81;0,81;0,79;0,78;0,75;0,91;0,98;0,93
CAGR Receitas 5 anos;0,11%;-0,42%;-1,95%;-2,13%;-2,79%;-0,36%;2,91%;3,02%;4,11%
CAGR Lucros 5 anos;0,22%;-5,50%;22,91%;-4,96%;-15,01%;6,32%;19,67%;-12,22%;31,79%
