;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;11.0;10.11;5.17;16.72;-7.22;-1.78;7.41;10.75;9.32
PEG Ratio;0,57;-;-;-;-;-;-;-;-
P/VP;2,53;2,51;1,45;1,79;2,82;2,11;1,93;2,27;2,29
EV/EBITDA;29,77;5,31;3,86;5,17;19,53;-5,20;4,70;6,03;5,39
EV/EBIT;29,77;8,26;5,97;10,24;-29,99;-3,55;7,05;10,04;8,55
P/EBITDA;22,32;3,67;1,70;2,34;9,42;-2,36;3,26;4,21;3,52
P/EBIT;22,32;5,72;2,62;4,63;-14,47;-1,61;4,89;7,01;5,59
VPA;44,20;38,66;28,43;21,09;15,53;20,48;45,57;36,86;29,48
P/Ativo;0,47;0,43;0,19;0,18;0,21;0,21;0,42;0,47;0,47
LPA;10.17;9.6;7.98;2.25;-6.07;-24.29;11.89;7.79;7.23
P/SR;0,62;0,56;0,25;0,27;0,58;0,82;0,52;0,55;0,53
P/Cap. Giro;-4,01;-7,19;-3,64;186,75;4,02;6,07;-3,31;-3,38;-3,55
P/Ativo Circ. Liq.;-0,62;-0,58;-0,26;-0,26;-0,31;-0,28;-0,50;-0,54;-0,57
Dív. líquida/PL;0,85;1,12;1,85;2,17;3,03;2,55;0,86;0,98;1,21
Dív. líquida/EBITDA;7,45;1,64;2,17;2,83;10,11;-2,85;1,44;1,82;1,87
Dív. líquida/EBIT;7,45;2,55;3,35;5,62;-15,53;-1,94;2,17;3,03;2,96
PL/Ativos;0,19;0,17;0,13;0,10;0,07;0,10;0,22;0,20;0,21
Passivos/Ativos;0,81;0,83;0,87;0,90;0,93;0,90;0,78;0,80;0,79
Liq. corrente;0,67;0,81;0,83;1,00;1,19;1,16;0,55;0,51;0,56
M. Bruta;17,58%;67,67%;65,26%;59,75%;60,56%;58,74%;68,61%;66,21%;69,03%
M. EBITDA;2,78%;15,18%;14,84%;11,73%;6,11%;-34,79%;15,83%;13,12%;15,01%
M. EBIT;2,78%;9,76%;9,61%;5,92%;-3,98%;-50,99%;10,54%;7,88%;9,46%
M. Líquida;5,64%;5,52%;4,87%;1,64%;-7,97%;-46,04%;6,96%;5,14%;5,67%
ROE;23,02%;24,84%;28,08%;10,69%;-39,05%;-118,61%;26,09%;21,13%;24,54%
ROA;4,32%;4,25%;3,68%;1,09%;-2,88%;-11,87%;5,72%;4,33%;5,06%
ROIC;1,58%;11,01%;10,72%;6,29%;-4,07%;-28,94%;13,87%;11,44%;11,65%
Giro ativos;0,76;0,77;0,76;0,67;0,36;0,26;0,82;0,84;0,89
CAGR Receitas 5 anos;5,70%;5,40%;3,54%;-7,59%;-16,52%;2,15%;1,53%;0,34%;-0,30%
CAGR Lucros 5 anos;0,91%;4,29%;-19,22%;-%;-%;21,59%;30,02%;-%;21,69%
