;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;10.23;12.9;67.58;-5.43;-164.79;-13.29;-5.96;;
PEG Ratio;0,02;-;-;-;-;-;-;-;-
P/VP;6,05;5,90;11,34;6,76;5,65;7,33;3,41;-;-
EV/EBITDA;113,83;24,93;36,09;-6,81;239,12;-15,41;-5,54;-0,15;0,42
EV/EBIT;166,97;27,53;44,27;-6,08;-158,83;-13,94;-5,24;-0,13;0,36
P/EBITDA;113,13;24,77;35,20;-6,27;227,04;-15,33;-6,24;-;-
P/EBIT;165,94;27,36;43,17;-5,60;-150,80;-13,86;-5,90;-;-
VPA;13,54;10,23;5,43;3,66;7,42;6,95;8,72;-;-
P/Ativo;2,69;2,48;3,30;1,54;2,11;2,71;1,60;-;-
LPA;8.01;4.68;0.91;-4.56;-0.25;-3.84;-4.99;;
P/SR;3,43;2,89;3,42;1,56;4,68;8,08;3,59;-;-
P/Cap. Giro;84,37;165,35;69,19;125,24;-398,71;29,82;6,12;-;-
P/Ativo Circ. Liq.;-3,53;-3,26;-4,65;-2,17;-2,73;-3,85;-2,84;-;-
Dív. líquida/PL;0,04;0,04;0,29;0,58;0,30;0,04;-0,38;-;-
Dív. líquida/EBITDA;0,70;0,16;0,90;-0,54;12,08;-0,08;0,70;-0,15;0,42
Dív. líquida/EBIT;1,03;0,18;1,10;-0,48;-8,03;-0,07;0,66;-0,13;0,36
PL/Ativos;0,44;0,42;0,29;0,23;0,37;0,37;0,47;-0,31;-0,55
Passivos/Ativos;0,55;0,58;0,69;0,76;0,62;0,61;0,53;1,31;1,55
Liq. corrente;1,15;1,07;1,19;1,04;0,98;1,44;2,47;2,03;1,78
M. Bruta;8,16%;33,19%;32,55%;30,76%;35,67%;37,40%;49,05%;50,11%;47,55%
M. EBITDA;3,03%;11,67%;9,72%;-24,83%;2,06%;-52,68%;-57,43%;-23,13%;-45,01%
M. EBIT;2,07%;10,57%;7,92%;-27,80%;-3,11%;-58,25%;-60,76%;-26,91%;-51,44%
M. Líquida;33,54%;22,41%;5,06%;-28,68%;-2,84%;-60,76%;-60,13%;8,85%;-50,84%
ROE;59,15%;45,72%;16,77%;-124,54%;-3,43%;-55,18%;-57,19%;-13,50%;-47,13%
ROA;26,27%;19,23%;4,88%;-28,47%;-1,28%;-20,35%;-26,78%;4,16%;-26,14%
ROIC;-23,95%;-3,71%;13,24%;-54,45%;-4,36%;-33,69%;-41,99%;642,64%;83,90%
Giro ativos;0,78;0,86;0,96;0,99;0,45;0,33;0,45;0,47;0,51
CAGR Receitas 5 anos;25,46%;27,03%;32,07%;35,33%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;13,61%;-%;-%;-%;-%;-%;-%;-%
