;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;3,90%;4,28%;3,88%;2,41%;3,70%;2,89%;3,22%;3,18%
Div;;1.72;1.64;1.5;1.45;1.39;1.36;1.27;1.22
P/L;83.5;169.47;28.66;154.42;130.92;188.5;75.67;54.79;87.52
PEG Ratio;4,81;-;-;-;-;-;-;-;-
P/VP;3,73;4,17;3,16;3,11;5,54;3,50;4,07;3,76;3,65
EV/EBITDA;23,94;19,81;13,32;19,09;24,76;-;20,30;17,72;19,70
EV/EBIT;406,63;69,12;28,01;73,35;70,33;59,51;49,18;40,10;53,60
P/EBITDA;16,18;14,07;9,11;13,33;19,27;-;15,10;13,54;14,52
P/EBIT;274,73;49,11;19,16;51,21;54,73;41,27;36,56;30,63;39,50
VPA;9,91;10,41;12,13;12,46;10,82;10,98;11,46;10,55;10,55
P/Ativo;1,15;1,32;1,11;1,15;1,77;1,17;1,42;1,42;1,33
LPA;0.44;0.26;1.34;0.25;0.46;0.2;0.62;0.72;0.44
P/SR;7,17;8,59;7,74;8,40;14,79;9,12;11,88;10,43;10,36
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-1,15;-1,32;-1,11;-1,15;-1,77;-1,17;-1,42;-1,42;-1,33
Dív. líquida/PL;1,79;1,70;1,46;1,34;1,58;1,55;1,41;1,16;1,30
Dív. líquida/EBITDA;7,77;5,74;4,21;5,76;5,49;-;5,21;4,18;5,18
Dív. líquida/EBIT;131,91;20,01;8,84;22,14;15,60;18,24;12,62;9,47;14,10
PL/Ativos;0,31;0,32;0,35;0,37;0,32;0,34;0,35;0,38;0,37
Passivos/Ativos;0,61;0,59;0,56;0,55;0,56;0,58;0,55;0,50;0,51
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;16,43%;65,38%;65,68%;65,66%;64,67%;66,33%;68,53%;68,34%;68,58%
M. EBITDA;44,32%;61,04%;84,93%;63,00%;76,74%;-%;78,68%;77,02%;71,35%
M. EBIT;2,61%;17,49%;40,40%;16,40%;27,01%;22,09%;32,49%;34,04%;26,22%
M. Líquida;8,59%;5,07%;27,00%;5,44%;11,29%;4,84%;15,70%;19,03%;11,83%
ROE;4,46%;2,46%;11,01%;2,01%;4,23%;1,86%;5,39%;6,86%;4,17%
ROA;1,38%;0,78%;3,86%;0,75%;1,35%;0,62%;1,88%;2,58%;1,52%
ROIC;0,47%;3,12%;6,66%;2,58%;3,90%;3,29%;4,57%;5,48%;4,00%
Giro ativos;0,16;0,15;0,14;0,14;0,12;0,13;0,12;0,14;0,13
CAGR Receitas 5 anos;7,73%;9,23%;8,79%;6,10%;6,77%;7,09%;6,64%;6,80%;9,02%
CAGR Lucros 5 anos;-13,50%;16,95%;-6,49%;-12,51%;-28,19%;4,20%;37,66%;-9,78%;94,42%
