;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,09%;0,45%;0,52%;0,57%;0,62%;0,15%;0,42%;0,34%;0,35%
Div;0.2;0.81;0.79;0.8;0.8;0.21;0.6;0.4;0.4
P/L;9.94;10.21;14.27;14.73;10.08;12.38;15.46;13.85;14.31
PEG Ratio;0,29;-;-;-;-;-;-;-;-
P/VP;1,91;1,75;1,67;1,68;1,64;1,85;2,25;1,97;2,13
EV/EBITDA;16,89;7,07;8,77;9,31;7,37;8,12;9,61;8,97;8,20
EV/EBIT;38,17;9,52;13,11;14,76;10,22;11,43;13,49;12,43;11,08
P/EBITDA;12,65;5,14;5,97;6,32;5,23;6,63;7,36;6,62;6,23
P/EBIT;28,60;6,92;8,93;10,02;7,26;9,33;10,33;9,18;8,40
VPA;114,75;102,59;91,53;83,83;78,99;74,34;63,70;59,08;53,22
P/Ativo;0,89;0,81;0,73;0,74;0,76;0,87;1,08;0,96;1,00
LPA;22.01;17.58;10.68;9.57;12.86;11.11;9.28;8.42;7.92
P/SR;0,80;0,74;0,72;0,74;0,79;1,01;1,10;1,00;1,03
P/Cap. Giro;138,40;19,24;12,83;15,97;35,77;14,59;35,64;22,05;-215,03
P/Ativo Circ. Liq.;-1,13;-1,00;-0,92;-0,91;-0,92;-1,15;-1,29;-1,16;-1,20
Dív. líquida/PL;0,64;0,66;0,78;0,79;0,67;0,42;0,69;0,70;0,68
Dív. líquida/EBITDA;4,24;1,93;2,79;2,99;2,13;1,49;2,25;2,35;1,98
Dív. líquida/EBIT;9,58;2,60;4,18;4,74;2,96;2,10;3,15;3,26;2,67
PL/Ativos;0,47;0,46;0,44;0,44;0,47;0,47;0,48;0,49;0,47
Passivos/Ativos;0,53;0,54;0,56;0,56;0,53;0,53;0,52;0,51;0,53
Liq. corrente;1,03;1,27;1,40;1,33;1,14;1,32;1,23;1,34;0,97
M. Bruta;24,21%;100,00%;100,00%;100,00%;100,00%;100,00%;89,00%;89,15%;89,38%
M. EBITDA;6,36%;14,33%;12,01%;11,75%;15,11%;15,25%;15,00%;15,12%;16,60%
M. EBIT;2,81%;10,64%;8,03%;7,41%;10,89%;10,83%;10,69%;10,91%;12,30%
M. Líquida;8,09%;7,22%;5,03%;5,04%;7,84%;8,17%;7,14%;7,23%;7,22%
ROE;19,18%;17,13%;11,67%;11,41%;16,28%;14,94%;14,57%;14,25%;14,89%
ROA;8,96%;7,89%;5,14%;5,01%;7,57%;7,00%;6,97%;6,91%;6,99%
ROIC;0,42%;12,08%;8,37%;7,31%;10,42%;9,37%;10,31%;9,98%;10,72%
Giro ativos;1,11;1,09;1,02;0,99;0,97;0,86;0,98;0,96;0,97
CAGR Receitas 5 anos;6,82%;5,80%;5,18%;5,30%;5,03%;6,76%;7,89%;8,38%;7,63%
CAGR Lucros 5 anos;7,04%;-1,61%;-2,12%;7,14%;6,77%;8,31%;8,80%;11,14%;12,02%
