;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,63%;1,62%;1,74%;1,21%;1,12%;1,38%;1,41%;1,38%;1,30%
Div;2.09;8.19;9.16;6.41;5.63;4.84;4.15;3.44;2.87
P/L;17.08;32.13;21.74;24.61;27.34;21.6;20.13;20.0;20.24
PEG Ratio;0,75;-;-;-;-;-;-;-;-
P/VP;3,14;5,00;5,48;6,37;6,58;5,08;4,83;4,64;4,47
EV/EBITDA;29,62;18,35;14,41;16,59;18,40;14,28;13,78;13,35;13,33
EV/EBIT;45,90;21,49;16,18;18,57;20,79;16,12;15,69;15,21;15,30
P/EBITDA;24,88;16,49;13,39;15,55;17,45;13,15;12,43;12,12;12,24
P/EBIT;38,56;19,30;15,03;17,41;19,71;14,85;14,15;13,82;14,05
VPA;105,74;101,27;96,06;83,27;76,26;69,02;60,81;53,74;49,30
P/Ativo;0,95;1,55;1,78;2,02;2,23;1,69;1,60;1,57;1,54
LPA;19.42;15.74;24.22;21.54;18.37;16.23;14.61;12.46;10.9
P/SR;0,69;1,16;1,31;1,53;1,64;1,29;1,15;1,06;1,06
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,95;-1,55;-1,78;-2,02;-2,23;-1,69;-1,60;-1,57;-1,54
Dív. líquida/PL;0,60;0,56;0,42;0,42;0,36;0,44;0,53;0,47;0,40
Dív. líquida/EBITDA;4,74;1,86;1,02;1,03;0,95;1,13;1,35;1,22;1,09
Dív. líquida/EBIT;7,35;2,18;1,15;1,15;1,07;1,27;1,54;1,40;1,25
PL/Ativos;0,30;0,31;0,32;0,32;0,34;0,33;0,33;0,34;0,34
Passivos/Ativos;0,68;0,67;0,66;0,66;0,66;0,66;0,66;0,65;0,64
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;7,76%;34,00%;34,91%;34,96%;35,01%;38,01%;35,40%;35,73%;35,36%
M. EBITDA;2,78%;7,01%;9,78%;9,82%;9,41%;9,84%;9,25%;8,74%;8,68%
M. EBIT;1,79%;5,99%;8,71%;8,77%;8,33%;8,71%;8,13%;7,67%;7,56%
M. Líquida;4,04%;3,60%;6,02%;6,21%;6,01%;5,99%;5,71%;5,30%;5,25%
ROE;18,36%;15,55%;25,22%;25,87%;24,09%;23,52%;24,02%;23,19%;22,10%
ROA;5,58%;4,83%;8,18%;8,19%;8,15%;7,81%;7,96%;7,87%;7,59%
ROIC;2,16%;11,00%;16,96%;16,41%;15,98%;15,32%;15,61%;15,28%;14,59%
Giro ativos;1,38;1,34;1,36;1,32;1,36;1,30;1,39;1,49;1,45
CAGR Receitas 5 anos;10,57%;10,43%;10,01%;9,24%;10,36%;13,17%;13,06%;12,70%;12,66%
CAGR Lucros 5 anos;0,80%;13,30%;13,77%;19,76%;21,52%;19,75%;16,33%;13,82%;6,42%
