;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,58%;2,32%;2,12%;2,45%;1,70%;1,86%;2,05%;2,21%;1,85%
Div;1.35;5.29;5.21;5.07;4.28;3.87;3.71;3.06;2.48
P/L;19.52;20.42;23.48;18.12;24.67;26.23;21.2;17.07;9.85
PEG Ratio;3,12;-;-;-;-;-;-;-;-
P/VP;7,96;8,16;10,13;10,43;11,37;8,27;6,92;4,99;4,25
EV/EBITDA;33,47;13,48;15,24;12,64;16,02;15,99;13,60;11,38;11,59
EV/EBIT;65,05;16,69;18,93;15,38;19,69;20,34;17,03;14,27;14,51
P/EBITDA;27,32;11,06;12,59;10,07;13,59;13,58;11,40;9,43;10,10
P/EBIT;53,10;13,69;15,64;12,26;16,70;17,28;14,27;11,83;12,64
VPA;29,17;27,95;24,25;19,86;22,17;25,17;26,11;27,72;31,58
P/Ativo;2,01;2,03;2,23;1,94;2,53;2,25;2,04;1,72;1,83
LPA;11.89;11.17;10.46;11.43;10.21;7.94;8.53;8.1;13.61
P/SR;5,61;5,68;6,21;5,10;7,38;7,18;5,78;4,46;4,97
P/Cap. Giro;-104,62;-111,75;-156,32;-80,87;-73,39;3.422,27;-140,70;-219,97;1.575,51
P/Ativo Circ. Liq.;-2,13;-2,16;-2,38;-2,06;-2,68;-2,41;-2,16;-1,85;-1,96
Dív. líquida/PL;1,79;1,79;2,13;2,66;2,03;1,47;1,34;1,03;0,63
Dív. líquida/EBITDA;6,15;2,42;2,65;2,57;2,43;2,41;2,21;1,95;1,49
Dív. líquida/EBIT;11,95;3,00;3,29;3,12;2,98;3,06;2,76;2,45;1,87
PL/Ativos;0,25;0,25;0,22;0,19;0,22;0,27;0,29;0,35;0,43
Passivos/Ativos;0,75;0,75;0,78;0,81;0,78;0,73;0,71;0,65;0,57
Liq. corrente;0,75;0,77;0,81;0,72;0,62;1,01;0,79;0,90;1,02
M. Bruta;20,05%;79,41%;77,17%;76,36%;81,36%;83,23%;79,91%;78,21%;79,97%
M. EBITDA;20,53%;51,39%;49,30%;50,61%;54,32%;52,89%;50,73%;47,31%;49,23%
M. EBIT;10,56%;41,50%;39,69%;41,58%;44,19%;41,58%;40,52%;37,71%;39,32%
M. Líquida;28,73%;27,82%;26,45%;28,13%;29,92%;27,38%;27,27%;26,13%;50,43%
ROE;40,75%;39,95%;43,14%;57,54%;46,06%;31,54%;32,65%;29,21%;43,10%
ROA;10,27%;9,96%;9,50%;10,69%;10,27%;8,57%;9,60%;10,09%;18,53%
ROIC;1,23%;16,67%;16,30%;18,18%;17,50%;14,86%;16,08%;15,97%;12,61%
Giro ativos;0,36;0,36;0,36;0,38;0,34;0,31;0,35;0,39;0,37
CAGR Receitas 5 anos;2,24%;1,10%;3,21%;1,80%;-2,18%;-1,98%;0,78%;0,30%;0,39%
CAGR Lucros 5 anos;2,65%;1,35%;-8,16%;9,03%;2,31%;2,70%;6,34%;22,13%;5,16%
