;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;6,57%;5,17%;5,15%;4,37%;1,90%;2,40%;3,28%;3,73%;2,79%
Div;6.56;6.52;8.1;7.6;4.07;4.03;3.84;3.64;3.32
P/L;29.12;18.62;20.01;12.93;14.46;108.39;22.62;17.49;20.93
PEG Ratio;-0,60;-;-;-;-;-;-;-;-
P/VP;5,35;6,44;7,76;7,55;13,08;221,56;30,74;27,74;103,30
EV/EBITDA;16,98;10,29;11,82;8,62;9,77;31,26;13,84;11,49;12,45
EV/EBIT;43,59;14,76;16,07;10,39;11,44;64,40;19,02;15,32;16,19
P/EBITDA;14,00;9,04;10,55;7,98;9,21;27,76;11,59;9,49;10,40
P/EBIT;35,94;12,96;14,34;9,61;10,78;57,20;15,93;12,65;13,53
VPA;18,65;19,58;20,27;23,04;16,39;0,76;3,81;3,52;1,15
P/Ativo;1,19;1,54;1,89;2,10;2,69;2,33;1,74;1,68;2,25
LPA;3.43;6.77;7.86;13.45;14.82;1.55;5.18;5.58;5.69
P/SR;0,95;1,18;1,48;1,49;1,92;1,72;1,36;1,17;1,54
P/Cap. Giro;19,10;37,53;77,27;36,62;25,31;45,49;59,42;39,47;36,26
P/Ativo Circ. Liq.;-1,62;-2,12;-2,61;-3,05;-4,19;-3,45;-2,46;-2,48;-3,44
Dív. líquida/PL;1,14;0,90;0,94;0,61;0,79;27,91;5,97;5,86;20,34
Dív. líquida/EBITDA;2,98;1,26;1,27;0,64;0,56;3,50;2,25;2,00;2,05
Dív. líquida/EBIT;7,65;1,80;1,73;0,78;0,65;7,21;3,09;2,67;2,66
PL/Ativos;0,22;0,24;0,24;0,28;0,21;0,01;0,06;0,06;0,02
Passivos/Ativos;0,78;0,76;0,76;0,72;0,79;0,99;0,94;0,94;0,98
Liq. corrente;1,30;1,17;1,10;1,22;1,42;1,19;1,11;1,15;1,22
M. Bruta;21,43%;74,73%;74,43%;71,67%;72,20%;73,87%;74,21%;72,27%;74,26%
M. EBITDA;6,76%;13,09%;13,99%;18,65%;20,81%;6,20%;11,69%;12,29%;14,83%
M. EBIT;2,63%;9,12%;10,29%;15,48%;17,77%;3,01%;8,51%;9,22%;11,40%
M. Líquida;3,25%;6,35%;7,37%;11,51%;13,25%;1,59%;5,99%;6,67%;7,37%
ROE;18,38%;34,59%;38,76%;58,36%;90,44%;204,41%;135,90%;158,59%;493,46%
ROA;4,07%;8,25%;9,47%;16,24%;18,57%;2,15%;7,67%;9,58%;10,76%
ROIC;2,31%;17,49%;18,94%;31,06%;37,56%;8,08%;17,87%;20,95%;21,19%
Giro ativos;1,25;1,30;1,28;1,41;1,40;1,36;1,28;1,44;1,46
CAGR Receitas 5 anos;4,21%;4,83%;8,55%;9,57%;7,71%;4,94%;5,33%;4,23%;3,02%
CAGR Lucros 5 anos;5,42%;6,96%;18,68%;30,38%;-22,63%;7,93%;1,85%;43,47%;-2,09%
