;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,22%;0,93%;1,03%;-%;-%;-%;-%;-%;-%
Div;1.8;6.55;5.9;;;;;;
P/L;20.53;17.87;15.91;11.71;17.36;18.8;10.68;7.59;10.8
PEG Ratio;-15,05;-;-;-;-;-;-;-;-
P/VP;5,77;5,34;4,74;3,49;4,02;3,68;3,27;2,44;4,68
EV/EBITDA;15,73;8,43;7,49;6,56;7,88;6,88;5,67;5,50;8,14
EV/EBIT;60,22;14,45;12,93;11,06;14,80;14,50;11,06;10,23;15,63
P/EBITDA;12,46;6,57;5,81;4,50;5,64;4,39;2,97;2,28;5,01
P/EBIT;47,70;11,28;10,03;7,59;10,60;9,25;5,80;4,25;9,62
VPA;141,44;132,03;120,86;101,82;82,73;63,01;50,96;41,96;36,72
P/Ativo;1,73;1,63;1,51;1,02;1,19;0,94;0,66;0,46;0,97
LPA;39.76;39.43;36.03;30.35;19.14;12.34;15.62;13.51;15.91
P/SR;3,25;3,00;2,69;2,12;2,48;1,96;1,34;1,03;2,19
P/Cap. Giro;-121,38;-621,68;-54,79;88,67;-53,24;131,73;-35,21;-23,42;139,80
P/Ativo Circ. Liq.;-1,98;-1,85;-1,70;-1,15;-1,33;-1,06;-0,73;-0,51;-1,10
Dív. líquida/PL;1,52;1,50;1,37;1,60;1,59;2,09;2,97;3,44;2,93
Dív. líquida/EBITDA;3,27;1,85;1,68;2,06;2,24;2,49;2,70;3,22;3,13
Dív. líquida/EBIT;12,52;3,17;2,90;3,47;4,20;5,24;5,26;5,98;6,01
PL/Ativos;0,30;0,31;0,32;0,29;0,30;0,25;0,20;0,19;0,21
Passivos/Ativos;0,70;0,69;0,68;0,71;0,70;0,75;0,80;0,81;0,79
Liq. corrente;0,90;0,98;0,81;1,11;0,83;1,07;0,84;0,83;1,06
M. Bruta;38,73%;40,08%;40,56%;42,91%;39,66%;37,32%;39,25%;41,80%;41,70%
M. EBITDA;26,08%;45,60%;46,34%;47,05%;43,91%;44,67%;45,08%;45,23%;43,73%
M. EBIT;6,81%;26,58%;26,84%;27,89%;23,36%;21,20%;23,12%;24,32%;22,77%
M. Líquida;15,83%;16,78%;16,91%;18,08%;14,27%;10,43%;12,55%;13,62%;20,27%
ROE;28,11%;29,87%;29,82%;29,81%;23,13%;19,58%;30,65%;32,21%;43,34%
ROA;8,42%;9,14%;9,47%;8,70%;6,83%;4,98%;6,19%;6,04%;8,96%
ROIC;1,06%;14,83%;15,57%;13,83%;11,55%;10,96%;11,94%;10,41%;9,68%
Giro ativos;0,53;0,54;0,56;0,48;0,48;0,48;0,49;0,44;0,44
CAGR Receitas 5 anos;10,41%;12,24%;11,88%;11,02%;7,96%;10,47%;10,18%;10,03%;17,15%
CAGR Lucros 5 anos;17,01%;17,20%;9,36%;19,62%;8,75%;16,80%;23,15%;78,15%;41,16%
