;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,66%;5,80%;5,05%;4,63%;4,58%;4,93%;4,58%;5,30%;-%
Div;1.32;1.7;1.61;1.5;1.38;1.26;1.17;0.99;
P/L;10.83;11.52;13.22;27.92;18.68;15.35;21.57;14.52;144.29
PEG Ratio;-11,42;-;-;-;-;-;-;-;-
P/VP;1,09;1,16;1,32;1,42;1,56;1,45;1,46;1,10;1,29
EV/EBITDA;52,33;13,05;14,47;25,96;15,33;16,36;16,18;12,27;65,88
EV/EBIT;55,59;13,23;14,69;26,51;16,14;16,68;16,89;12,43;66,30
P/EBITDA;34,00;8,55;9,73;18,20;12,68;11,13;13,39;9,90;42,42
P/EBIT;36,12;8,67;9,87;18,58;13,35;11,35;13,98;10,03;42,69
VPA;25,89;25,12;24,22;22,77;19,25;17,54;17,46;17,05;15,91
P/Ativo;0,65;0,68;0,75;0,83;1,08;0,80;0,89;0,67;0,63
LPA;2.61;2.54;2.41;1.16;1.61;1.66;1.18;1.29;0.14
P/SR;7,60;8,02;9,20;12,00;12,54;11,17;13,16;8,46;32,81
P/Cap. Giro;-;-;-;-;-;-;5,07;3,32;4,53
P/Ativo Circ. Liq.;-0,65;-0,68;-0,75;-0,83;-1,08;-0,80;-1,08;-0,84;-0,74
Dív. líquida/PL;0,59;0,61;0,64;0,61;0,33;0,68;0,30;0,26;0,71
Dív. líquida/EBITDA;18,33;4,49;4,74;7,76;2,65;5,23;2,78;2,37;23,46
Dív. líquida/EBIT;19,47;4,56;4,81;7,93;2,79;5,33;2,91;2,40;23,61
PL/Ativos;0,59;0,58;0,57;0,58;0,69;0,55;0,61;0,61;0,49
Passivos/Ativos;0,41;0,42;0,43;0,42;0,31;0,45;0,39;0,39;0,51
Liq. corrente;-;-;-;-;-;-;116,25;162,28;63,97
M. Bruta;24,59%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;22,34%;93,73%;94,60%;65,93%;98,90%;100,30%;98,28%;85,48%;77,34%
M. EBIT;21,03%;92,41%;93,20%;64,56%;93,96%;98,37%;94,16%;84,41%;76,86%
M. Líquida;70,18%;69,59%;69,59%;42,97%;67,16%;72,76%;61,02%;58,31%;22,74%
ROE;10,06%;10,09%;9,95%;5,10%;8,37%;9,47%;6,78%;7,59%;0,89%
ROA;5,99%;5,90%;5,70%;2,97%;5,76%;5,23%;4,12%;4,62%;0,44%
ROIC;1,86%;8,20%;8,00%;4,70%;8,42%;7,45%;6,55%;6,86%;1,49%
Giro ativos;0,09;0,08;0,08;0,07;0,09;0,07;0,07;0,08;0,02
CAGR Receitas 5 anos;33,88%;32,10%;69,19%;-%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;37,45%;36,85%;92,16%;-%;-%;-%;-%;-%;-%
