;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;3,49%;3,14%;3,09%;5,22%;6,93%;3,84%;4,27%;3,05%
Div;;4.28;4.08;3.92;3.92;3.91;3.6;3.2;2.8
P/L;33.13;13.93;4.9;4.1;33.05;-16.23;15.88;10.19;9.89
PEG Ratio;-0,83;-;-;-;-;-;-;-;-
P/VP;2,08;1,57;1,64;2,00;1,67;1,23;1,76;1,47;1,83
EV/EBITDA;15,78;6,32;3,28;2,94;8,90;38,09;7,35;5,60;7,64
EV/EBIT;120,49;10,44;4,00;3,40;18,86;-23,80;11,56;8,07;11,77
P/EBITDA;14,12;5,49;2,88;2,57;6,75;25,52;6,21;4,70;7,10
P/EBIT;107,79;9,07;3,51;2,97;14,32;-15,94;9,76;6,77;10,94
VPA;77,88;77,85;79,05;63,31;45,04;46,10;53,09;51,06;50,26
P/Ativo;0,84;0,64;0,69;0,77;0,53;0,45;0,71;0,63;0,80
LPA;4.89;8.8;26.51;30.98;2.27;-3.48;5.9;7.36;9.29
P/SR;1,61;0,30;0,30;0,27;0,27;0,36;0,36;0,27;0,43
P/Cap. Giro;5,63;4,68;4,60;7,08;7,12;3,52;6,62;4,58;4,88
P/Ativo Circ. Liq.;-1,41;-1,06;-1,18;-1,28;-0,84;-0,64;-1,10;-0,98;-1,30
Dív. líquida/PL;0,24;0,24;0,23;0,29;0,53;0,60;0,33;0,28;0,14
Dív. líquida/EBITDA;1,66;0,83;0,41;0,37;2,14;12,57;1,14;0,90;0,53
Dív. líquida/EBIT;12,70;1,36;0,49;0,43;4,54;-7,85;1,80;1,30;0,82
PL/Ativos;0,41;0,41;0,42;0,39;0,32;0,36;0,40;0,43;0,44
Passivos/Ativos;0,59;0,59;0,58;0,61;0,68;0,64;0,60;0,57;0,56
Liq. corrente;1,60;1,53;1,56;1,38;1,26;1,71;1,44;1,65;1,74
M. Bruta;2,05%;3,70%;8,93%;9,52%;2,75%;-1,14%;4,41%;4,78%;4,79%
M. EBITDA;11,37%;5,41%;10,40%;10,40%;3,99%;1,39%;5,72%;5,79%;6,02%
M. EBIT;1,49%;3,28%;8,54%;9,00%;1,88%;-2,23%;3,64%;4,02%;3,91%
M. Líquida;4,84%;2,13%;6,10%;6,54%;0,82%;-2,19%;2,24%;2,67%;4,33%
ROE;6,27%;11,30%;33,53%;48,93%;5,05%;-7,56%;11,11%;14,41%;18,48%
ROA;2,54%;4,61%;14,01%;18,90%;1,61%;-2,74%;4,50%;6,22%;8,10%
ROIC;0,26%;10,18%;25,72%;35,35%;5,85%;-7,02%;10,29%;12,42%;8,83%
Giro ativos;0,52;2,16;2,30;2,89;1,97;1,25;2,01;2,33;1,87
CAGR Receitas 5 anos;3,70%;4,35%;13,42%;8,54%;-5,86%;-3,71%;-3,25%;-7,45%;-9,70%
CAGR Lucros 5 anos;2,72%;23,13%;23,18%;-16,48%;-%;-7,77%;2,80%;14,31%;1,84%
