;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,80%;0,57%;0,57%;0,70%;0,51%;0,52%;0,67%;-%;-%
Div;1.8;1.57;1.36;1.24;1.17;1.08;1.0;;
P/L;34.05;40.36;55.7;28.61;55.5;47.36;54.4;29.98;28.48
PEG Ratio;-1.046,38;-;-;-;-;-;-;-;-
P/VP;83,31;386,36;110,42;15,60;13,13;12,51;10,82;8,67;8,21
EV/EBITDA;53,40;24,94;25,81;17,74;28,84;26,33;26,83;17,86;17,75
EV/EBIT;109,79;30,63;32,20;22,06;39,91;35,48;39,47;24,17;23,05
P/EBITDA;49,30;23,27;24,01;15,66;26,65;24,18;23,93;15,61;15,03
P/EBIT;101,36;28,58;29,96;19,48;36,89;32,59;35,20;21,13;19,51
VPA;2,70;0,71;2,16;11,31;17,42;16,60;13,80;12,58;11,69
P/Ativo;5,03;9,07;7,84;3,92;4,74;4,46;3,47;3,04;2,63
LPA;6.61;6.82;4.29;6.17;4.12;4.38;2.75;3.64;3.37
P/SR;10,36;13,42;12,77;10,93;12,33;12,12;9,39;7,49;7,37
P/Cap. Giro;71,96;-118,16;884,51;-19,58;-39,31;-53,02;-32,77;-26,39;-21,37
P/Ativo Circ. Liq.;-8,85;-11,53;-9,63;-4,52;-5,35;-4,99;-3,88;-3,42;-2,92
Dív. líquida/PL;6,93;27,67;8,27;2,07;1,08;1,11;1,31;1,25;1,49
Dív. líquida/EBITDA;4,10;1,67;1,80;2,08;2,19;2,15;2,90;2,25;2,72
Dív. líquida/EBIT;8,43;2,05;2,24;2,59;3,03;2,89;4,27;3,04;3,54
PL/Ativos;0,06;0,02;0,07;0,25;0,36;0,36;0,32;0,35;0,32
Passivos/Ativos;0,94;0,98;0,93;0,75;0,64;0,64;0,68;0,65;0,68
Liq. corrente;1,19;0,74;1,05;0,40;0,49;0,56;0,50;0,49;0,45
M. Bruta;16,67%;68,73%;67,31%;66,98%;64,72%;64,31%;62,53%;63,00%;63,46%
M. EBITDA;21,01%;57,66%;53,17%;69,78%;46,27%;50,12%;39,23%;48,00%;49,04%
M. EBIT;10,22%;46,96%;42,62%;56,12%;33,43%;37,19%;26,67%;35,46%;37,78%
M. Líquida;30,42%;33,25%;22,92%;38,20%;22,22%;25,59%;17,26%;25,00%;25,88%
ROE;244,62%;957,24%;198,26%;54,53%;23,65%;26,41%;19,90%;28,91%;28,83%
ROA;14,76%;22,47%;14,08%;13,70%;8,53%;9,43%;6,38%;10,15%;9,22%
ROIC;0,45%;34,02%;27,82%;21,53%;12,94%;14,39%;10,66%;15,19%;13,67%
Giro ativos;0,49;0,68;0,61;0,36;0,38;0,37;0,37;0,41;0,36
CAGR Receitas 5 anos;2,02%;2,28%;3,08%;8,49%;9,60%;12,75%;8,46%;8,79%;10,86%
CAGR Lucros 5 anos;16,32%;0,53%;11,44%;2,42%;7,02%;2,38%;11,44%;11,02%;15,89%
