;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,95%;-%;-%;-%;-%;-%;-%;-%;-%
Div;2.32;;;;;;;;
P/L;27.91;25.02;25.52;32.11;35.74;30.3;36.95;30.78;24.67
PEG Ratio;-5,00;-;-;-;-;-;-;-;-
P/VP;-11,04;-10,04;-13,20;-13,85;-22,25;-17,76;-15,18;-12,94;-8,95
EV/EBITDA;82,80;18,74;20,34;22,56;31,35;28,75;26,33;21,09;14,64
EV/EBIT;89,19;19,01;20,66;23,49;33,08;30,12;27,30;21,84;15,33
P/EBITDA;78,73;17,67;19,53;21,75;30,71;28,04;25,68;20,50;14,64
P/EBIT;84,81;17,92;19,84;22,64;32,41;29,38;26,63;21,23;15,34
VPA;-22,12;-20,61;-15,61;-14,84;-11,41;-12,18;-12,69;-11,46;-12,79
P/Ativo;16,12;13,98;11,93;12,48;14,14;13,98;12,20;9,36;3,84
LPA;8.75;8.27;8.07;6.4;7.1;7.14;5.22;4.82;4.64
P/SR;13,91;12,62;13,97;15,18;21,13;19,52;18,37;14,75;9,68
P/Cap. Giro;-36,58;-22,67;-104,21;-276,63;144,05;107,72;72,18;48,52;12,74
P/Ativo Circ. Liq.;-31,64;-26,47;-27,43;-31,14;-39,23;-44,98;-39,31;-30,00;-22,79
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;4,07;1,07;0,81;0,81;0,63;0,71;0,65;0,59;-0,01
Dív. líquida/EBIT;4,38;1,09;0,82;0,85;0,67;0,74;0,67;0,61;-0,01
PL/Ativos;-1,46;-1,39;-0,90;-0,90;-0,64;-0,79;-0,80;-0,72;-0,43
Passivos/Ativos;2,46;2,39;1,90;1,90;1,64;1,79;1,80;1,72;1,43
Liq. corrente;0,53;0,43;0,83;0,93;1,18;1,23;1,32;1,39;1,57
M. Bruta;21,33%;87,71%;86,79%;85,91%;85,54%;85,76%;85,35%;84,19%;83,41%
M. EBITDA;17,67%;71,47%;71,54%;69,81%;68,80%;69,61%;71,52%;71,97%;66,12%
M. EBIT;16,41%;70,45%;70,44%;67,06%;65,19%;66,43%;68,96%;69,50%;63,11%
M. Líquida;49,86%;50,45%;54,76%;47,29%;59,12%;64,42%;49,71%;47,94%;39,25%
ROE;-39,55%;-40,13%;-51,71%;-43,13%;-62,26%;-58,62%;-41,09%;-42,04%;-36,28%
ROA;57,78%;55,86%;46,75%;38,87%;39,56%;46,12%;33,03%;30,43%;15,55%
ROIC;-12,32%;-519,93%;426,82%;331,90%;164,30%;193,99%;236,30%;174,52%;51,62%
Giro ativos;1,16;1,11;0,85;0,82;0,67;0,72;0,66;0,63;0,40
CAGR Receitas 5 anos;4,80%;4,21%;4,11%;3,05%;3,61%;4,05%;4,71%;5,93%;8,15%
CAGR Lucros 5 anos;5,11%;7,02%;8,06%;12,24%;16,78%;11,50%;1,36%;7,40%;25,26%
