;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;31.45;-193.19;28.97;22.34;23.86;22.66;47.84;20.2;143.84
PEG Ratio;-0,04;-;-;-;-;-;-;-;-
P/VP;6,67;6,31;5,96;5,33;5,53;7,07;9,25;9,55;18,68
EV/EBITDA;81,58;200,43;20,41;14,40;16,75;16,85;33,99;53,36;316,66
EV/EBIT;95,95;349,22;21,25;14,90;17,50;17,43;36,49;59,11;679,32
P/EBITDA;86,27;212,77;22,77;16,73;19,15;18,71;36,08;56,83;329,55
P/EBIT;101,47;370,73;23,70;17,31;20,02;19,36;38,74;62,95;706,97
VPA;68,26;63,87;68,22;54,13;39,69;33,41;23,66;17,35;8,02
P/Ativo;4,65;4,59;4,61;4,09;4,16;5,23;6,77;6,78;10,69
LPA;14.48;-2.08;14.05;12.93;9.2;10.43;4.58;8.21;1.04
P/SR;9,86;9,39;10,62;8,31;7,38;9,90;13,53;13,90;15,23
P/Cap. Giro;18,97;17,15;9,89;7,07;7,53;9,82;16,14;15,55;20,58
P/Ativo Circ. Liq.;-8,09;-8,00;-12,21;-15,10;-14,43;-16,98;-16,11;-17,62;-42,25
Dív. líquida/PL;-0,36;-0,37;-0,62;-0,74;-0,69;-0,70;-0,54;-0,58;-0,73
Dív. líquida/EBITDA;-4,69;-12,34;-2,35;-2,33;-2,40;-1,86;-2,10;-3,47;-12,89
Dív. líquida/EBIT;-5,52;-21,51;-2,45;-2,41;-2,51;-1,93;-2,25;-3,85;-27,65
PL/Ativos;0,70;0,73;0,77;0,77;0,75;0,74;0,73;0,71;0,57
Passivos/Ativos;0,30;0,27;0,23;0,23;0,25;0,26;0,27;0,29;0,43
Liq. corrente;2,36;2,69;3,99;4,83;4,46;4,33;3,61;3,43;3,28
M. Bruta;21,23%;86,11%;87,21%;87,90%;88,06%;88,14%;86,84%;86,56%;88,95%
M. EBITDA;11,43%;4,41%;46,66%;49,67%;38,52%;52,93%;37,48%;24,45%;4,62%
M. EBIT;9,72%;2,53%;44,83%;48,01%;36,86%;51,16%;34,91%;22,07%;2,15%
M. Líquida;31,35%;-4,86%;36,68%;37,20%;30,92%;43,70%;28,27%;68,80%;10,59%
ROE;21,22%;-3,26%;20,59%;23,88%;23,19%;31,22%;19,34%;47,28%;12,99%
ROA;14,78%;-2,38%;15,92%;18,30%;17,44%;23,07%;14,15%;33,57%;7,43%
ROIC;2,11%;-3,06%;20,40%;23,54%;22,65%;30,02%;18,65%;-16,23%;-2,04%
Giro ativos;0,47;0,49;0,43;0,49;0,56;0,53;0,50;0,49;0,70
CAGR Receitas 5 anos;21,50%;26,49%;29,12%;34,79%;43,15%;48,30%;20,25%;10,26%;3,83%
CAGR Lucros 5 anos;-%;11,54%;66,01%;-%;-%;-%;-%;-%;-%
