;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,43%;3,06%;3,61%;4,00%;3,52%;4,37%;5,49%;5,40%;5,19%
Div;1.9;1.84;1.8;1.76;1.76;2.14;3.17;3.17;3.12
P/L;153.31;317.18;-128.01;-439.92;416.63;41.83;49.7;51.01;15.76
PEG Ratio;-0,28;-;-;-;-;-;-;-;-
P/VP;2,95;2,39;2,11;1,77;1,88;1,80;2,04;2,03;1,96
EV/EBITDA;32,97;20,36;17,63;19,71;19,17;15,59;17,55;16,65;16,67
EV/EBIT;306,18;58,70;64,07;78,93;58,02;36,22;39,42;32,04;30,50
P/EBITDA;24,64;13,68;10,72;11,78;12,14;9,60;11,26;11,05;10,97
P/EBIT;228,86;39,45;38,95;47,16;36,74;22,32;25,30;21,25;20,08
VPA;26,32;24,64;23,60;25,40;27,18;27,18;28,29;28,81;30,69
P/Ativo;1,36;0,98;0,81;0,75;0,83;0,77;0,87;0,92;0,89
LPA;0.51;0.19;-0.39;-0.1;0.12;1.17;1.16;1.15;3.81
P/SR;6,58;5,26;4,47;4,36;5,35;4,85;5,56;5,58;5,98
P/Cap. Giro;-;-;-;-;-;-;-53,00;-37,40;83,11
P/Ativo Circ. Liq.;-1,36;-0,98;-0,81;-0,75;-0,83;-0,77;-0,90;-0,95;-0,95
Dív. líquida/PL;1,00;1,17;1,36;1,19;1,09;1,12;1,14;1,03;1,01
Dív. líquida/EBITDA;8,33;6,68;6,91;7,93;7,03;5,98;6,29;5,61;5,69
Dív. líquida/EBIT;77,33;19,26;25,12;31,76;21,29;13,90;14,12;10,79;10,42
PL/Ativos;0,46;0,41;0,38;0,42;0,44;0,43;0,43;0,45;0,46
Passivos/Ativos;0,53;0,58;0,60;0,57;0,55;0,56;0,57;0,55;0,54
Liq. corrente;-;-;-;-;-;-;0,68;0,53;1,20
M. Bruta;9,72%;42,39%;43,05%;44,81%;45,23%;48,79%;92,53%;93,46%;93,39%
M. EBITDA;26,70%;38,43%;41,68%;37,06%;44,11%;50,50%;49,35%;50,48%;54,49%
M. EBIT;2,87%;13,33%;11,47%;9,25%;14,58%;21,73%;21,96%;26,24%;29,78%
M. Líquida;4,29%;1,66%;-3,49%;-0,99%;1,29%;11,59%;11,18%;10,93%;37,95%
ROE;1,93%;0,75%;-1,65%;-0,40%;0,45%;4,31%;4,11%;3,99%;12,41%
ROA;0,88%;0,31%;-0,63%;-0,17%;0,20%;1,84%;1,75%;1,81%;5,66%
ROIC;0,40%;2,53%;2,20%;1,63%;2,41%;3,29%;3,50%;4,49%;4,52%
Giro ativos;0,21;0,19;0,18;0,17;0,15;0,16;0,16;0,17;0,15
CAGR Receitas 5 anos;4,80%;3,67%;2,91%;2,06%;2,88%;6,88%;8,28%;7,67%;14,74%
CAGR Lucros 5 anos;-29,93%;-%;-%;-38,62%;1,09%;-1,87%;-2,02%;30,18%;12,24%
