;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,82%;3,86%;4,43%;4,31%;2,44%;-%;-%;-%;-%
Div;0.48;0.48;0.53;0.48;0.33;;;;
P/L;-28.01;-23.43;237.74;6.5;-12.89;-14.46;;;
PEG Ratio;-0,09;-;-;-;-;-;-;-;-
P/VP;0,95;0,80;0,64;0,64;0,80;0,42;-;-;-
EV/EBITDA;11,78;9,99;8,57;4,90;8,65;17,40;3,93;4,24;4,26
EV/EBIT;-68,74;-384,88;38,85;9,26;-1.374,15;-155,25;15,01;14,10;9,61
P/EBITDA;6,10;5,27;3,70;2,10;3,65;4,86;-;-;-
P/EBIT;-35,60;-203,02;16,76;3,97;-580,31;-43,36;-;-;-
VPA;13,21;15,61;17,05;17,36;16,94;44,40;23,02;23,60;24,81
P/Ativo;0,38;0,36;0,27;0,27;0,30;0,16;-;-;-
LPA;-0.45;-0.53;0.05;1.71;-1.05;-1.3;0.03;0.68;1.3
P/SR;1,02;1,01;0,84;0,83;0,91;0,81;-;-;-
P/Cap. Giro;5,59;3,97;2,50;3,47;16,07;4,20;-;-;-
P/Ativo Circ. Liq.;-0,52;-0,46;-0,37;-0,34;-0,37;-0,20;-;-;-
Dív. líquida/PL;0,88;0,71;0,84;0,85;1,09;1,09;0,90;1,05;1,04
Dív. líquida/EBITDA;5,68;4,72;4,87;2,80;5,00;12,54;3,93;4,24;4,26
Dív. líquida/EBIT;-33,14;-181,86;22,09;5,29;-793,84;-111,88;15,01;14,10;9,61
PL/Ativos;0,40;0,45;0,43;0,42;0,37;0,37;0,38;0,37;0,37
Passivos/Ativos;0,60;0,55;0,57;0,58;0,63;0,63;0,62;0,63;0,63
Liq. corrente;1,35;1,65;1,67;1,58;1,10;1,22;1,21;1,39;1,13
M. Bruta;35,97%;38,15%;41,74%;39,95%;31,17%;31,78%;33,89%;35,00%;40,17%
M. EBITDA;16,79%;19,13%;22,79%;39,56%;25,04%;16,68%;23,78%;26,37%;27,23%
M. EBIT;-2,88%;-0,50%;5,03%;20,94%;-0,16%;-1,87%;6,22%;7,92%;12,07%
M. Líquida;-3,66%;-4,30%;0,35%;12,78%;-7,10%;-5,61%;0,15%;3,08%;5,84%
ROE;-3,39%;-3,40%;0,27%;9,86%;-6,19%;-2,92%;0,14%;2,90%;5,23%
ROA;-1,36%;-1,53%;0,11%;4,16%;-2,31%;-1,09%;0,05%;1,08%;1,94%
ROIC;-1,90%;-0,26%;1,63%;6,62%;-1,45%;-0,56%;2,50%;3,36%;4,49%
Giro ativos;0,37;0,36;0,32;0,33;0,33;0,19;0,37;0,35;0,33
CAGR Receitas 5 anos;5,09%;6,17%;6,43%;10,06%;4,85%;8,30%;10,60%;11,87%;12,56%
CAGR Lucros 5 anos;-%;-31,11%;24,46%;-%;-%;-55,19%;-10,79%;1,66%;-2,21%
