;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;6,65%;6,68%;6,96%;6,53%;4,85%;4,21%;3,95%;4,22%;4,39%
Div;2.72;2.67;2.62;2.57;2.52;2.47;2.43;2.37;2.32
P/L;8.7;9.62;13.65;7.78;9.89;13.66;13.18;14.96;7.17
PEG Ratio;0,08;-;-;-;-;-;-;-;-
P/VP;1,64;1,70;1,71;1,82;2,67;3,58;4,04;4,25;4,83
EV/EBITDA;11,74;6,48;7,65;6,40;7,45;7,79;7,48;7,97;7,38
EV/EBIT;37,94;10,40;13,64;9,83;11,12;12,41;11,59;14,19;11,94
P/EBITDA;6,50;3,54;3,95;3,38;4,44;5,41;5,40;5,85;4,87
P/EBIT;21,01;5,68;7,04;5,19;6,63;8,62;8,36;10,43;7,87
VPA;24,91;23,57;21,98;21,70;19,48;16,39;15,19;13,24;10,95
P/Ativo;0,44;0,44;0,42;0,44;0,60;0,77;0,87;0,88;0,84
LPA;4.7;4.16;2.76;5.06;5.26;4.3;4.66;3.76;7.38
P/SR;1,25;1,25;1,18;1,21;1,63;1,90;1,93;1,78;1,71
P/Cap. Giro;-11,09;-6,94;-9,66;-13,44;-20,91;16,28;-34,34;-70,52;-69,12
P/Ativo Circ. Liq.;-0,50;-0,49;-0,46;-0,48;-0,66;-0,93;-1,00;-1,01;-0,95
Dív. líquida/PL;1,32;1,41;1,61;1,62;1,81;1,58;1,56;1,53;2,50
Dív. líquida/EBITDA;5,24;2,94;3,70;3,02;3,01;2,38;2,08;2,11;2,51
Dív. líquida/EBIT;16,93;4,72;6,60;4,64;4,50;3,79;3,23;3,77;4,07
PL/Ativos;0,27;0,26;0,24;0,24;0,22;0,21;0,22;0,21;0,17
Passivos/Ativos;0,73;0,74;0,75;0,76;0,77;0,78;0,78;0,79;0,83
Liq. corrente;0,74;0,63;0,69;0,75;0,78;1,38;0,84;0,91;0,91
M. Bruta;14,67%;59,87%;59,03%;56,79%;57,86%;60,09%;58,50%;57,58%;57,90%
M. EBITDA;19,31%;35,26%;29,96%;35,80%;36,76%;35,02%;35,69%;30,32%;35,21%
M. EBIT;5,97%;21,98%;16,80%;23,30%;24,63%;21,99%;23,04%;17,02%;21,76%
M. Líquida;14,43%;12,99%;8,67%;15,53%;16,51%;13,88%;14,61%;11,87%;23,88%
ROE;18,88%;17,64%;12,57%;23,32%;26,98%;26,24%;30,66%;28,38%;67,36%
ROA;5,11%;4,55%;3,05%;5,60%;6,02%;5,62%;6,60%;5,86%;11,71%
ROIC;0,92%;10,11%;7,25%;10,49%;11,22%;11,48%;16,77%;13,22%;11,03%
Giro ativos;0,35;0,35;0,35;0,36;0,36;0,41;0,45;0,49;0,49
CAGR Receitas 5 anos;0,44%;0,47%;1,66%;1,18%;-0,51%;0,74%;1,66%;1,70%;2,59%
CAGR Lucros 5 anos;-1,90%;-5,64%;-6,72%;10,94%;-0,09%;14,89%;6,20%;102,92%;40,43%
