;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;35.09;34.54;30.34;28.61;32.66;29.43;25.42;24.06;756.49
PEG Ratio;8,35;-;-;-;-;-;-;-;-
P/VP;9,77;12,05;16,94;40,14;61,56;66,13;-69,61;9,12;6,88
EV/EBITDA;47,59;22,51;21,42;20,98;23,98;20,71;20,03;16,15;18,05
EV/EBIT;80,11;27,63;25,68;24,07;27,69;24,64;23,01;18,52;20,94
P/EBITDA;45,69;21,26;19,46;19,91;23,02;19,55;18,50;16,85;20,00
P/EBIT;76,91;26,09;23,33;22,84;26,58;23,26;21,25;19,32;23,20
VPA;39,15;30,79;19,44;8,54;6,05;3,74;-3,36;20,69;28,09
P/Ativo;4,68;4,84;4,21;6,17;7,31;5,41;5,89;3,83;2,89
LPA;10.9;10.74;10.85;11.97;11.41;8.41;9.19;7.84;0.26
P/SR;7,33;7,45;6,59;6,81;8,12;6,49;6,26;5,90;6,65
P/Cap. Giro;34,08;25,05;20,23;20,70;23,86;25,76;20,88;6,45;4,19
P/Ativo Circ. Liq.;-7,73;-7,64;-6,78;-13,34;-15,43;-10,67;-12,10;-13,43;-14,57
Dív. líquida/PL;0,41;0,71;1,70;2,17;2,57;3,93;-;-0,37;-0,67
Dív. líquida/EBITDA;1,90;1,26;1,96;1,08;0,96;1,16;1,53;-0,69;-1,95
Dív. líquida/EBIT;3,20;1,54;2,35;1,23;1,11;1,38;1,76;-0,79;-2,26
PL/Ativos;0,48;0,40;0,25;0,15;0,12;0,08;-0,08;0,42;0,42
Passivos/Ativos;0,52;0,60;0,75;0,85;0,88;0,92;1,08;0,58;0,58
Liq. corrente;1,53;2,11;2,22;2,24;2,39;1,74;2,22;5,93;7,04
M. Bruta;16,88%;59,43%;59,57%;58,00%;58,49%;57,44%;58,00%;58,98%;58,99%
M. EBITDA;16,04%;35,03%;33,86%;34,22%;35,28%;33,20%;33,81%;35,05%;33,27%
M. EBIT;9,53%;28,55%;28,25%;29,83%;30,55%;27,90%;29,44%;30,57%;28,68%
M. Líquida;20,89%;21,56%;21,72%;23,81%;24,87%;22,05%;24,61%;24,54%;0,88%
ROE;27,84%;34,88%;55,83%;140,29%;188,50%;224,68%;-273,81%;37,89%;0,91%
ROA;13,34%;14,01%;13,88%;21,57%;22,39%;18,37%;23,16%;15,93%;0,38%
ROIC;4,74%;21,06%;21,14%;36,38%;39,21%;35,92%;45,61%;23,99%;1,00%
Giro ativos;0,64;0,65;0,64;0,91;0,90;0,83;0,94;0,65;0,43
CAGR Receitas 5 anos;4,22%;4,09%;5,18%;5,15%;2,98%;3,88%;4,91%;4,61%;3,20%
CAGR Lucros 5 anos;1,50%;1,58%;103,44%;5,85%;2,15%;6,53%;5,70%;-46,45%;3,79%
