;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,19%;-%;-%;-%;-%;1,81%;2,36%;5,41%;2,51%
Div;0.33;;;;;1.0;1.5;2.0;1.99
P/L;31.22;-19.91;-7.76;6.71;24.86;-67.41;-25.03;15.85;59.25
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;11,10;1,47;1,19;0,82;1,90;1,76;1,89;0,93;2,06
EV/EBITDA;31,40;83,10;60,00;4,39;10,32;11,90;12,77;3,35;8,10
EV/EBIT;41,41;-66,99;-33,62;6,17;20,91;68,93;142,55;6,11;18,76
P/EBITDA;30,07;60,65;43,29;2,99;8,26;8,68;9,29;2,12;6,28
P/EBIT;39,66;-48,89;-24,25;4,21;16,73;50,30;103,72;3,88;14,56
VPA;15,53;31,09;33,63;38,31;34,25;31,39;33,51;39,84;38,60
P/Ativo;4,21;0,66;0,53;0,38;0,78;0,66;0,72;0,37;0,79
LPA;5.53;-2.29;-5.17;4.7;2.62;-0.82;-2.54;2.33;1.34
P/SR;6,19;2,52;2,09;0,54;1,21;1,01;1,14;0,52;1,23
P/Cap. Giro;134,64;8,05;5,33;2,39;4,18;3,63;4,05;1,73;3,50
P/Ativo Circ. Liq.;-7,24;-0,99;-0,78;-0,60;-1,25;-1,01;-1,06;-0,58;-1,25
Dív. líquida/PL;0,49;0,54;0,46;0,38;0,48;0,65;0,71;0,53;0,60
Dív. líquida/EBITDA;1,32;22,45;16,71;1,40;2,06;3,22;3,48;1,22;1,82
Dív. líquida/EBIT;1,75;-18,10;-9,36;1,96;4,18;18,63;38,83;2,23;4,21
PL/Ativos;0,38;0,45;0,45;0,47;0,41;0,37;0,38;0,39;0,38
Passivos/Ativos;0,60;0,54;0,52;0,53;0,59;0,63;0,62;0,61;0,62
Liq. corrente;1,08;1,32;1,45;1,81;2,00;2,05;2,22;2,39;2,55
M. Bruta;38,78%;28,07%;22,24%;31,26%;26,72%;22,59%;22,64%;37,32%;31,80%
M. EBITDA;20,60%;4,15%;4,83%;17,90%;14,61%;11,60%;12,26%;24,40%;19,61%
M. EBIT;15,62%;-5,14%;-8,62%;12,72%;7,21%;2,00%;1,10%;13,37%;8,46%
M. Líquida;19,84%;-12,63%;-26,92%;7,98%;4,85%;-1,49%;-4,55%;3,27%;2,08%
ROE;35,57%;-7,38%;-15,36%;12,27%;7,66%;-2,62%;-7,56%;5,85%;3,48%
ROA;13,49%;-3,30%;-6,86%;5,71%;3,14%;-0,97%;-2,86%;2,31%;1,33%
ROIC;9,72%;-1,92%;-3,28%;9,19%;5,80%;0,70%;-1,39%;5,95%;5,06%
Giro ativos;0,68;0,26;0,25;0,72;0,65;0,65;0,63;0,71;0,64
CAGR Receitas 5 anos;-17,54%;-21,25%;-74,96%;5,42%;2,81%;1,83%;6,11%;8,88%;6,41%
CAGR Lucros 5 anos;-%;-%;-67,03%;27,67%;-%;-%;-7,19%;-24,44%;-19,73%
