;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,84%;3,55%;3,71%;3,88%;2,79%;2,75%;2,56%;3,19%;3,13%
Div;0.89;3.34;3.12;3.63;2.71;2.53;2.36;2.21;2.08
P/L;27.71;19.56;19.94;21.0;23.55;24.19;25.65;20.63;17.42
PEG Ratio;1,80;-;-;-;-;-;-;-;-
P/VP;2,53;2,40;2,26;2,59;2,80;2,76;2,87;2,23;2,21
EV/EBITDA;38,39;12,82;12,84;13,90;15,17;14,94;15,55;13,31;11,40
EV/EBIT;-;19,59;20,01;20,84;23,45;22,51;23,73;20,04;15,95
P/EBITDA;23,77;7,63;7,53;8,78;10,06;10,01;10,83;8,67;7,48
P/EBIT;-;11,66;11,73;13,16;15,54;15,10;16,52;13,04;10,46
VPA;41,80;39,11;37,26;36,16;34,69;33,29;32,16;31,12;30,08
P/Ativo;0,69;0,63;0,60;0,71;0,79;0,78;0,83;0,65;0,66
LPA;3.81;4.81;4.22;4.46;4.12;3.8;3.6;3.36;3.81
P/SR;4,73;3,47;2,99;3,08;3,68;4,01;3,87;2,85;2,74
P/Cap. Giro;-13,56;-15,48;-11,45;-20,78;-27,93;-14,06;-26,71;-20,16;-12,66
P/Ativo Circ. Liq.;-0,73;-0,67;-0,65;-0,76;-0,84;-0,83;-0,89;-0,70;-0,71
Dív. líquida/PL;1,55;1,64;1,60;1,51;1,42;1,36;1,25;1,19;1,16
Dív. líquida/EBITDA;14,62;5,19;5,32;5,12;5,12;4,92;4,72;4,65;3,92
Dív. líquida/EBIT;-;7,93;8,29;7,68;7,91;7,42;7,21;6,99;5,49
PL/Ativos;0,27;0,26;0,27;0,27;0,28;0,28;0,29;0,29;0,30
Passivos/Ativos;0,72;0,73;0,73;0,72;0,71;0,71;0,71;0,71;0,70
Liq. corrente;0,50;0,60;0,55;0,69;0,71;0,50;0,66;0,67;0,57
M. Bruta;0,00%;44,02%;40,50%;34,39%;36,07%;39,91%;35,35%;32,70%;36,21%
M. EBITDA;19,91%;45,54%;39,67%;35,12%;36,61%;40,03%;35,72%;32,83%;36,64%
M. EBIT;0,00%;29,79%;25,45%;23,42%;23,69%;26,55%;23,41%;21,82%;26,20%
M. Líquida;17,09%;17,76%;14,97%;14,67%;15,64%;16,57%;15,07%;13,79%;15,74%
ROE;9,13%;12,29%;11,33%;12,34%;11,88%;11,43%;11,18%;10,79%;12,68%
ROA;2,49%;3,22%;3,03%;3,36%;3,34%;3,24%;3,24%;3,16%;3,81%
ROIC;-%;7,14%;6,74%;6,71%;6,67%;6,84%;7,15%;6,96%;7,90%
Giro ativos;0,15;0,18;0,20;0,23;0,21;0,20;0,22;0,23;0,24
CAGR Receitas 5 anos;2,71%;2,98%;4,64%;2,16%;4,09%;8,53%;11,19%;12,49%;10,74%
CAGR Lucros 5 anos;6,57%;4,76%;3,37%;9,19%;16,61%;16,51%;15,70%;20,00%;12,31%
