;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,36%;2,03%;2,71%;3,72%;2,84%;4,18%;4,26%;5,01%;5,46%
Div;0.67;2.56;2.43;2.46;2.43;2.71;3.49;3.48;3.48
P/L;133.02;84.13;149.6;227.69;114.12;27.55;26.93;34.39;50.94
PEG Ratio;27,21;-;-;-;-;-;-;-;-
P/VP;3,30;2,51;2,00;1,58;2,18;1,69;2,14;1,78;1,64
EV/EBITDA;60,38;33,06;26,88;22,54;30,43;25,28;22,28;20,30;20,34
EV/EBIT;522,03;83,60;67,37;65,44;78,93;80,24;43,44;41,03;44,68
P/EBITDA;56,03;28,82;21,19;15,77;22,38;17,59;15,50;13,58;13,71
P/EBIT;484,44;72,87;53,11;45,76;58,07;55,85;30,21;27,44;30,12
VPA;56,47;50,30;45,02;41,38;39,43;38,28;38,30;38,95;38,94
P/Ativo;2,15;1,57;1,16;0,85;1,10;0,83;0,99;0,86;0,85
LPA;1.4;1.5;0.6;0.29;0.75;2.35;3.04;2.02;1.25
P/SR;12,99;10,35;7,86;5,63;8,33;5,94;6,56;5,61;5,57
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-2,15;-1,57;-1,16;-0,85;-1,10;-0,83;-0,99;-0,86;-0,85
Dív. líquida/PL;0,26;0,37;0,54;0,68;0,78;0,74;0,93;0,88;0,79
Dív. líquida/EBITDA;4,35;4,24;5,69;6,78;8,04;7,68;6,78;6,72;6,63
Dív. líquida/EBIT;37,59;10,73;14,26;19,68;20,87;24,39;13,23;13,59;14,57
PL/Ativos;0,65;0,63;0,58;0,54;0,51;0,49;0,47;0,48;0,52
Passivos/Ativos;0,34;0,37;0,42;0,45;0,48;0,50;0,52;0,50;0,47
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;7,83%;37,55%;38,98%;37,68%;39,74%;42,74%;46,81%;47,62%;50,88%
M. EBITDA;23,18%;35,92%;37,11%;35,72%;37,22%;33,78%;42,35%;41,34%;40,61%
M. EBIT;2,68%;14,20%;14,81%;12,30%;14,35%;10,64%;21,72%;20,46%;18,48%
M. Líquida;9,76%;12,30%;5,26%;2,47%;7,30%;21,58%;24,37%;16,33%;10,93%
ROE;2,48%;2,98%;1,34%;0,70%;1,91%;6,13%;7,93%;5,18%;3,21%
ROA;1,61%;1,86%;0,77%;0,37%;0,96%;3,01%;3,69%;2,50%;1,66%
ROIC;0,47%;2,31%;2,31%;2,00%;2,05%;1,59%;3,60%;3,38%;2,92%
Giro ativos;0,17;0,15;0,15;0,15;0,13;0,14;0,15;0,15;0,15
CAGR Receitas 5 anos;8,87%;6,85%;6,12%;1,94%;3,28%;8,63%;10,03%;18,64%;26,08%
CAGR Lucros 5 anos;-3,73%;-15,49%;-21,96%;-23,04%;2,63%;20,78%;58,56%;16,95%;46,51%
