;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,33%;2,14%;2,64%;2,66%;1,25%;4,04%;3,57%;3,56%;2,54%
Div;1.25;1.5;1.3;1.1;0.6;1.21;1.92;1.64;1.54
P/L;14.74;12.42;9.85;12.6;9.2;72.97;12.68;10.48;14.54
PEG Ratio;0,90;-;-;-;-;-;-;-;-
P/VP;1,63;1,29;0,95;0,88;0,99;0,67;1,22;1,11;1,44
EV/EBITDA;-25,47;-10,70;-13,14;-19,15;-16,92;-47,90;-11,27;-10,71;-10,76
EV/EBIT;-45,31;-12,62;-15,32;-25,00;-21,04;-120,81;-13,59;-12,30;-12,49
P/EBITDA;17,02;4,64;4,01;5,42;4,63;8,62;5,48;5,03;7,64
P/EBIT;30,27;5,48;4,68;7,08;5,76;21,74;6,61;5,77;8,86
VPA;57,71;54,46;51,61;47,01;48,28;44,72;44,25;41,67;42,02
P/Ativo;0,14;0,12;0,09;0,08;0,10;0,06;0,12;0,11;0,15
LPA;6.36;5.66;5.0;3.28;5.21;0.41;4.24;4.4;4.17
P/SR;9,62;1,84;1,54;1,90;2,26;1,55;2,19;2,15;3,06
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,14;-0,12;-0,09;-0,08;-0,10;-0,06;-0,12;-0,11;-0,15
Dív. líquida/PL;-4,06;-4,26;-4,08;-3,98;-4,62;-4,43;-3,71;-3,46;-3,48
Dív. líquida/EBITDA;-42,49;-15,35;-17,16;-24,57;-21,55;-56,52;-16,76;-15,73;-18,40
Dív. líquida/EBIT;-75,58;-18,10;-20,00;-32,08;-26,81;-142,55;-20,20;-18,08;-21,35
PL/Ativos;0,09;0,09;0,10;0,10;0,10;0,09;0,10;0,10;0,11
Passivos/Ativos;0,91;0,91;0,90;0,90;0,90;0,91;0,90;0,90;0,89
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;56,54%;39,67%;38,28%;34,98%;48,82%;18,03%;39,93%;42,71%;40,03%
M. EBIT;31,78%;33,64%;32,84%;26,79%;39,25%;7,15%;33,12%;37,17%;34,50%
M. Líquida;65,27%;14,84%;15,59%;15,05%;24,58%;2,13%;17,26%;20,47%;21,03%
ROE;11,02%;10,39%;9,68%;6,97%;10,80%;0,92%;9,59%;10,55%;9,93%
ROA;0,97%;0,96%;0,93%;0,67%;1,04%;0,09%;0,93%;1,09%;1,05%
ROIC;1,62%;12,75%;12,00%;8,00%;11,56%;1,05%;10,06%;10,28%;9,03%
Giro ativos;0,01;0,06;0,06;0,04;0,04;0,04;0,05;0,05;0,05
CAGR Receitas 5 anos;3,83%;2,68%;-3,11%;-2,63%;-2,26%;3,29%;2,79%;1,38%;1,46%
CAGR Lucros 5 anos;0,18%;-3,09%;-9,22%;-0,36%;-31,24%;-2,17%;1,40%;4,27%;7,86%
