;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;1,27%;1,31%;1,29%;1,58%;1,41%
Div;;;;;3.02;2.76;2.61;2.4;2.12
P/L;-35.84;12.57;12.57;12.57;12.89;27.27;24.87;28.39;35.03
PEG Ratio;0,15;0,11;-;-;-;-;-;-;-
P/VP;2,53;2,53;2,53;2,53;2,60;2,51;2,53;2,00;1,96
EV/EBITDA;-;9,21;9,21;9,21;9,42;13,47;13,57;12,99;15,52
EV/EBIT;-;11,46;11,46;11,46;11,73;20,02;19,93;22,15;34,54
P/EBITDA;-;8,31;8,31;8,31;8,52;11,55;11,36;10,93;13,15
P/EBIT;-;10,34;10,34;10,34;10,61;17,17;16,69;18,63;29,26
VPA;91,43;91,43;91,43;91,43;91,43;83,94;79,71;75,82;76,69
P/Ativo;0,77;0,77;0,77;0,77;0,79;0,70;0,73;0,61;0,61
LPA;-6.46;18.43;18.43;18.43;18.43;7.73;8.12;5.35;4.3
P/SR;3,18;3,19;3,19;3,19;3,27;2,90;2,87;2,32;2,43
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,77;-0,77;-0,77;-0,77;-0,79;-0,70;-0,73;-0,61;-0,61
Dív. líquida/PL;0,27;0,27;0,27;0,27;0,27;0,42;0,49;0,38;0,35
Dív. líquida/EBITDA;-;0,90;0,90;0,90;0,90;1,92;2,21;2,06;2,37
Dív. líquida/EBIT;-;1,12;1,12;1,12;1,12;2,86;3,24;3,52;5,28
PL/Ativos;0,31;0,31;0,31;0,31;0,31;0,28;0,29;0,30;0,31
Passivos/Ativos;0,69;0,69;0,69;0,69;0,69;0,72;0,71;0,69;0,69
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;-%;38,35%;38,35%;38,35%;38,35%;25,15%;25,28%;21,21%;18,45%
M. EBIT;0,00%;30,82%;30,82%;30,82%;30,82%;16,92%;17,21%;12,44%;8,29%
M. Líquida;-8,88%;25,35%;25,35%;25,35%;25,35%;10,65%;11,55%;8,16%;6,93%
ROE;-7,07%;20,15%;20,15%;20,15%;20,15%;9,21%;10,19%;7,05%;5,61%
ROA;-2,16%;6,16%;6,16%;6,16%;6,16%;2,58%;2,95%;2,15%;1,75%
ROIC;-%;13,71%;13,71%;13,71%;13,71%;7,25%;8,08%;6,32%;3,93%
Giro ativos;0,24;0,24;0,24;0,24;0,24;0,24;0,26;0,26;0,25
CAGR Receitas 5 anos;19,55%;19,55%;19,55%;19,55%;19,55%;18,91%;18,42%;18,70%;18,00%
CAGR Lucros 5 anos;21,71%;21,71%;21,71%;21,71%;21,71%;23,59%;13,75%;-%;15,54%
