;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,37%;1,49%;1,56%;1,66%;1,38%;1,85%;1,80%;2,09%;1,97%
Div;0.82;3.01;2.79;2.61;2.3;2.18;2.05;1.86;1.7
P/L;34.77;29.5;31.21;28.59;38.24;33.31;28.95;19.71;19.23
PEG Ratio;-11,93;-;-;-;-;-;-;-;-
P/VP;9,37;9,82;10,42;9,34;9,75;6,69;6,84;6,05;6,23
EV/EBITDA;29,67;16,19;15,32;14,44;17,15;15,42;13,92;11,08;11,67
EV/EBIT;124,69;25,77;24,90;23,85;30,49;27,22;23,17;17,42;18,38
P/EBITDA;23,55;12,55;12,57;11,75;14,40;12,18;11,54;8,78;9,32
P/EBIT;98,96;19,97;20,42;19,41;25,59;21,50;19,22;13,80;14,67
VPA;23,63;20,55;17,19;16,79;17,12;17,63;16,66;14,72;13,86
P/Ativo;1,96;1,82;2,19;2,04;2,39;1,70;1,74;1,68;1,72
LPA;6.36;6.84;5.74;5.49;4.36;3.54;3.94;4.52;4.49
P/SR;3,60;3,67;3,52;3,25;3,87;3,27;3,13;2,54;2,59
P/Cap. Giro;-99,29;-54,59;-170,38;-75,91;-68,56;-3.833,69;15,77;-81,95;-65,97
P/Ativo Circ. Liq.;-2,19;-2,04;-2,48;-2,30;-2,67;-1,93;-2,25;-1,90;-1,96
Dív. líquida/PL;2,44;2,85;2,28;2,14;1,87;1,78;1,41;1,59;1,57
Dív. líquida/EBITDA;6,12;3,64;2,76;2,69;2,75;3,24;2,37;2,31;2,35
Dív. líquida/EBIT;25,73;5,79;4,48;4,44;4,90;5,72;3,95;3,62;3,71
PL/Ativos;0,21;0,19;0,21;0,22;0,24;0,25;0,25;0,28;0,28
Passivos/Ativos;0,79;0,81;0,79;0,78;0,76;0,75;0,75;0,72;0,72
Liq. corrente;0,84;0,76;0,90;0,81;0,75;1,00;1,97;0,85;0,83
M. Bruta;9,44%;39,34%;38,28%;37,59%;38,03%;38,62%;38,56%;37,98%;37,72%
M. EBITDA;15,28%;29,26%;28,01%;27,65%;26,90%;26,89%;27,10%;28,98%;27,77%
M. EBIT;3,64%;18,38%;17,24%;16,73%;15,14%;15,23%;16,28%;18,44%;17,63%
M. Líquida;10,35%;12,45%;11,28%;11,36%;10,13%;9,83%;10,81%;12,91%;13,46%
ROE;26,94%;33,28%;33,38%;32,68%;25,49%;20,08%;23,63%;30,68%;32,38%
ROA;5,62%;6,16%;7,02%;7,13%;6,24%;5,10%;6,02%;8,50%;8,93%
ROIC;0,84%;10,40%;12,00%;11,99%;10,63%;9,03%;10,12%;14,09%;14,91%
Giro ativos;0,54;0,50;0,62;0,63;0,62;0,52;0,56;0,66;0,66
CAGR Receitas 5 anos;7,38%;6,49%;6,34%;5,67%;3,26%;2,00%;1,30%;1,20%;0,34%
CAGR Lucros 5 anos;10,46%;3,66%;2,80%;8,97%;14,72%;5,17%;81,40%;18,99%;4,23%
