;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,16%;1,72%;1,33%;1,43%;1,89%;2,55%;3,33%;2,98%
Div;;2.15;1.74;1.53;2.42;1.93;1.87;1.68;1.54
P/L;19.11;24.0;11.48;13.58;18.13;21.91;17.05;15.58;14.25
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;10,04;10,71;7,61;9,19;7,47;6,31;4,92;3,36;3,49
EV/EBITDA;12,23;14,30;7,33;8,78;10,46;11,41;9,44;6,48;6,68
EV/EBIT;14,19;16,91;8,38;9,94;12,56;15,81;12,96;8,74;8,77
P/EBITDA;12,96;15,14;7,55;9,30;11,28;12,08;9,50;6,63;7,02
P/EBIT;15,04;17,90;8,62;10,53;13,55;16,74;13,05;8,94;9,22
VPA;17,95;17,29;13,26;12,50;22,63;16,14;14,92;15,02;14,83
P/Ativo;4,06;4,32;2,78;3,31;2,65;1,92;2,02;1,45;1,76
LPA;9.43;7.72;8.79;8.46;9.33;4.65;4.31;3.24;3.63
P/SR;2,79;2,94;1,49;1,86;1,82;1,32;1,00;0,76;0,86
P/Cap. Giro;25,52;27,15;32,39;27,71;19,93;53,39;9,18;6,43;10,72
P/Ativo Circ. Liq.;-8,44;-8,93;-4,93;-6,65;-5,62;-3,39;-5,09;-3,52;-3,92
Dív. líquida/PL;-0,57;-0,59;-0,22;-0,51;-0,55;-0,35;-0,03;-0,08;-0,17
Dív. líquida/EBITDA;-0,73;-0,84;-0,21;-0,52;-0,82;-0,67;-0,07;-0,15;-0,34
Dív. líquida/EBIT;-0,85;-0,99;-0,24;-0,59;-0,99;-0,93;-0,09;-0,20;-0,45
PL/Ativos;0,40;0,40;0,36;0,36;0,35;0,30;0,41;0,43;0,50
Passivos/Ativos;0,60;0,60;0,64;0,64;0,65;0,70;0,59;0,57;0,50
Liq. corrente;1,44;1,45;1,24;1,31;1,34;1,09;1,58;1,62;1,42
M. Bruta;46,45%;42,62%;42,40%;44,05%;38,86%;36,27%;37,04%;36,50%;37,05%
M. EBITDA;21,53%;19,43%;19,77%;19,95%;16,12%;10,95%;10,55%;11,53%;12,19%
M. EBIT;18,55%;16,43%;17,30%;17,62%;13,43%;7,90%;7,69%;8,55%;9,28%
M. Líquida;14,59%;12,25%;13,00%;13,66%;10,04%;6,04%;5,88%;4,90%;6,01%
ROE;52,52%;44,63%;66,31%;67,68%;41,23%;28,81%;28,87%;21,56%;24,47%
ROA;21,22%;18,01%;24,19%;24,35%;14,60%;8,78%;11,86%;9,32%;12,33%
ROIC;49,93%;44,63%;66,31%;67,79%;35,73%;29,53%;23,39%;17,27%;24,47%
Giro ativos;1,45;1,47;1,86;1,78;1,46;1,45;2,02;1,90;2,05
CAGR Receitas 5 anos;6,45%;10,39%;10,16%;6,39%;4,65%;5,27%;5,53%;6,44%;7,27%
CAGR Lucros 5 anos;23,27%;34,16%;29,83%;17,03%;2,89%;3,65%;0,22%;5,21%;9,14%
