;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,08%;0,25%;0,22%;0,31%;0,15%;0,23%;0,41%;0,58%;0,54%
Div;0.22;0.82;0.77;0.73;0.7;0.65;0.62;0.57;0.53
P/L;40.4;48.07;43.61;29.77;52.58;60.5;46.02;35.1;48.62
PEG Ratio;-25,55;-;-;-;-;-;-;-;-
P/VP;6,51;8,83;8,98;6,50;14,90;11,29;7,07;5,20;5,72
EV/EBITDA;59,05;31,46;29,89;20,72;38,99;39,69;27,10;20,14;22,29
EV/EBIT;118,46;39,76;35,69;24,36;45,29;50,27;36,43;28,59;31,66
P/EBITDA;60,34;31,84;30,65;21,57;39,57;40,39;27,55;20,54;22,41
P/EBIT;121,05;40,24;36,61;25,36;45,97;51,15;37,04;29,15;31,83
VPA;42,42;37,10;39,20;36,23;31,47;25,09;21,26;18,85;17,24
P/Ativo;4,84;6,50;6,76;4,82;10,50;7,50;4,75;3,67;3,93
LPA;6.83;6.81;8.07;7.91;8.92;4.68;3.27;2.79;2.03
P/SR;6,58;8,19;8,77;6,04;12,29;9,76;6,05;4,23;4,58
P/Cap. Giro;16,72;23,98;20,47;12,45;30,32;24,07;15,51;11,89;15,79
P/Ativo Circ. Liq.;-8,70;-11,25;-13,67;-10,27;-22,14;-14,75;-8,67;-6,70;-6,55
Dív. líquida/PL;-0,14;-0,11;-0,22;-0,26;-0,22;-0,19;-0,12;-0,10;-0,03
Dív. líquida/EBITDA;-1,29;-0,38;-0,77;-0,85;-0,58;-0,69;-0,45;-0,40;-0,12
Dív. líquida/EBIT;-2,59;-0,48;-0,92;-1,00;-0,67;-0,88;-0,61;-0,57;-0,17
PL/Ativos;0,74;0,74;0,75;0,74;0,70;0,66;0,67;0,71;0,69
Passivos/Ativos;0,26;0,26;0,25;0,26;0,30;0,34;0,33;0,29;0,31
Liq. corrente;2,87;2,79;2,88;3,70;2,93;2,73;3,10;3,15;2,66
M. Bruta;35,58%;34,51%;38,28%;39,36%;41,52%;35,76%;32,92%;31,76%;32,07%
M. EBITDA;10,91%;25,71%;28,62%;28,00%;31,06%;24,16%;21,94%;20,58%;20,44%
M. EBIT;5,44%;20,34%;23,97%;23,82%;26,74%;19,07%;16,32%;14,50%;14,40%
M. Líquida;16,29%;17,03%;20,12%;20,30%;23,37%;16,13%;13,14%;12,05%;9,42%
ROE;16,11%;18,37%;20,60%;21,82%;28,34%;18,67%;15,36%;14,82%;11,77%
ROA;11,98%;13,52%;15,50%;16,20%;19,97%;12,39%;10,32%;10,46%;8,09%
ROIC;1,20%;16,67%;18,94%;19,80%;25,11%;15,97%;13,18%;13,04%;10,11%
Giro ativos;0,74;0,79;0,77;0,80;0,85;0,77;0,79;0,87;0,86
CAGR Receitas 5 anos;9,48%;11,43%;12,54%;13,41%;8,93%;5,30%;4,65%;4,78%;4,83%
CAGR Lucros 5 anos;15,31%;23,46%;31,20%;35,74%;29,35%;13,72%;13,00%;13,30%;13,72%
