;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,07%;2,43%;3,36%;2,78%;2,70%;2,58%;2,55%;3,09%;2,99%
Div;2.28;1.64;2.08;1.95;1.83;1.72;1.62;1.52;1.44
P/L;22.93;20.03;19.4;22.2;23.06;24.32;24.27;20.08;21.28
PEG Ratio;12,68;-;-;-;-;-;-;-;-
P/VP;2,07;1,99;1,95;2,31;2,36;2,46;2,51;2,07;2,13
EV/EBITDA;21,64;11,96;11,54;12,39;13,00;12,85;12,40;10,83;10,14
EV/EBIT;156,89;24,29;22,59;24,77;25,38;24,45;22,78;19,84;17,07
P/EBITDA;12,46;6,85;6,55;7,54;7,96;8,16;7,97;6,46;6,17
P/EBIT;90,34;13,91;12,82;15,09;15,55;15,53;14,65;11,82;10,38
VPA;35,81;33,99;31,74;30,34;28,70;27,13;25,25;23,78;22,56
P/Ativo;0,55;0,55;0,54;0,63;0,64;0,66;0,66;0,55;0,57
LPA;3.24;3.37;3.19;3.16;2.94;2.74;2.62;2.45;2.26
P/SR;14,07;2,89;2,42;2,52;2,74;3,11;2,89;2,20;2,14
P/Cap. Giro;-29,93;-18,17;-21,70;-41,25;-45,64;-37,16;-22,88;-18,54;-21,91
P/Ativo Circ. Liq.;-0,60;-0,59;-0,57;-0,69;-0,69;-0,71;-0,70;-0,59;-0,61
Dív. líquida/PL;1,53;1,48;1,49;1,48;1,49;1,41;1,40;1,40;1,37
Dív. líquida/EBITDA;9,18;5,12;4,99;4,84;5,03;4,69;4,43;4,37;3,97
Dív. líquida/EBIT;66,55;10,39;9,77;9,69;9,83;8,92;8,14;8,01;6,69
PL/Ativos;0,27;0,28;0,27;0,27;0,27;0,27;0,26;0,27;0,27
Passivos/Ativos;0,73;0,72;0,73;0,73;0,73;0,73;0,74;0,73;0,73
Liq. corrente;0,79;0,67;0,72;0,85;0,84;0,77;0,68;0,69;0,73
M. Bruta;41,28%;45,74%;42,09%;38,28%;39,15%;43,07%;40,97%;38,60%;39,64%
M. EBITDA;112,95%;42,14%;36,94%;33,36%;34,44%;38,08%;36,23%;34,00%;34,74%
M. EBIT;15,58%;20,75%;18,87%;16,68%;17,64%;20,02%;19,72%;18,57%;20,63%
M. Líquida;61,38%;14,40%;12,47%;11,34%;11,89%;12,78%;11,90%;10,93%;10,07%
ROE;9,04%;9,92%;10,05%;10,41%;10,23%;10,11%;10,36%;10,32%;10,02%
ROA;2,42%;2,76%;2,76%;2,84%;2,76%;2,73%;2,72%;2,74%;2,67%
ROIC;0,14%;4,90%;5,77%;5,82%;5,88%;6,52%;6,71%;6,64%;6,64%
Giro ativos;0,04;0,19;0,22;0,25;0,23;0,21;0,23;0,25;0,27
CAGR Receitas 5 anos;3,12%;4,25%;6,07%;3,87%;0,89%;-0,27%;1,11%;2,40%;0,83%
CAGR Lucros 5 anos;7,13%;7,03%;8,62%;7,30%;8,40%;6,08%;5,87%;4,87%;6,12%
