;2025;2024;2023
D.Y;-%;-%;-%
Div;;;
P/L;12.74;18.18;
PEG Ratio;0,05;-;-
P/VP;1,77;2,48;2,55
EV/EBITDA;-90,95;86,75;-85,82
EV/EBIT;153,75;40,54;-1.781,75
P/EBITDA;-85,05;83,04;-78,73
P/EBIT;143,78;38,81;-1.634,48
VPA;37,04;34,32;30,36
P/Ativo;1,02;1,43;1,44
LPA;5.16;4.68;0.02
P/SR;1,67;2,18;2,17
P/Cap. Giro;3,34;4,65;5,33
P/Ativo Circ. Liq.;-2,33;-3,12;-3,13
Dív. líquida/PL;0,12;0,11;0,23
Dív. líquida/EBITDA;-5,89;3,71;-7,09
Dív. líquida/EBIT;9,96;1,73;-147,26
PL/Ativos;0,57;0,58;0,57
Passivos/Ativos;0,43;0,42;0,43
Liq. corrente;2,18;2,33;2,01
M. Bruta;40,87%;36,85%;34,24%
M. EBITDA;-1,96%;2,63%;-2,76%
M. EBIT;1,16%;5,63%;-0,13%
M. Líquida;13,08%;12,01%;0,04%
ROE;13,93%;13,62%;0,05%
ROA;8,00%;7,88%;0,03%
ROIC;-2,92%;-0,46%;-0,13%
Giro ativos;0,61;0,66;0,66
CAGR Receitas 5 anos;451,84%;-%;-%
CAGR Lucros 5 anos;-62,20%;-%;-%
