;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,26%;0,91%;0,79%;0,75%;0,77%;0,64%;0,64%;0,93%;0,80%
Div;0.24;0.96;0.96;0.96;0.96;0.97;0.96;0.97;0.97
P/L;22.31;23.27;24.44;115.16;64.86;-225.57;27.21;-55.79;13.47
PEG Ratio;-0,87;-;-;-;-;-;-;-;-
P/VP;1,41;1,69;2,00;2,22;2,06;2,57;2,49;1,88;2,08
EV/EBITDA;17,40;11,87;13,68;21,39;19,26;39,84;17,95;27,91;18,38
EV/EBIT;70,64;21,29;23,94;56,25;52,07;-619,49;33,89;1.623,75;43,11
P/EBITDA;12,61;9,34;11,27;17,83;15,37;32,29;14,39;19,98;13,19
P/EBIT;51,20;16,76;19,73;46,89;41,55;-502,11;27,18;1.162,44;30,93
VPA;64,37;62,63;60,70;57,51;60,58;58,83;60,23;55,26;57,96
P/Ativo;0,76;0,98;1,16;1,27;1,11;1,28;1,25;0,88;0,94
LPA;4.06;4.54;4.98;1.11;1.92;-0.67;5.5;-1.86;8.96
P/SR;2,24;2,74;3,38;3,84;3,32;4,46;3,86;2,67;3,13
P/Cap. Giro;5,24;9,47;14,28;12,88;18,38;12,40;24,01;10,55;16,34
P/Ativo Circ. Liq.;-1,02;-1,26;-1,48;-1,60;-1,40;-1,62;-1,55;-1,07;-1,14
Dív. líquida/PL;0,53;0,46;0,43;0,44;0,52;0,60;0,61;0,74;0,82
Dív. líquida/EBITDA;4,79;2,52;2,41;3,56;3,89;7,55;3,56;7,93;5,19
Dív. líquida/EBIT;19,44;4,53;4,22;9,36;10,51;-117,38;6,71;461,31;12,18
PL/Ativos;0,54;0,58;0,58;0,57;0,54;0,50;0,50;0,47;0,45
Passivos/Ativos;0,46;0,42;0,42;0,43;0,46;0,50;0,50;0,53;0,55
Liq. corrente;2,43;1,91;1,61;1,88;1,41;1,99;1,37;1,83;1,49
M. Bruta;17,93%;71,46%;71,82%;70,90%;70,13%;69,70%;71,78%;71,36%;72,67%
M. EBITDA;17,78%;29,31%;30,03%;21,54%;21,62%;13,81%;26,79%;13,35%;23,74%
M. EBIT;4,38%;16,34%;17,16%;8,19%;8,00%;-0,89%;14,19%;0,23%;10,12%
M. Líquida;10,05%;11,77%;13,85%;3,33%;5,12%;-1,98%;14,18%;-4,78%;23,24%
ROE;6,31%;7,25%;8,20%;1,93%;3,17%;-1,14%;9,13%;-3,36%;15,46%
ROA;3,43%;4,23%;4,76%;1,10%;1,71%;-0,57%;4,59%;-1,57%;6,97%
ROIC;0,65%;6,02%;6,72%;2,57%;3,09%;-0,98%;4,40%;-0,45%;-2,55%
Giro ativos;0,34;0,36;0,34;0,33;0,33;0,29;0,32;0,33;0,30
CAGR Receitas 5 anos;-0,77%;-1,40%;-2,32%;0,43%;3,21%;11,30%;11,40%;11,78%;11,49%
CAGR Lucros 5 anos;-4,40%;-%;-33,75%;5,59%;-%;9,46%;-%;19,16%;-16,66%
