;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,06%;0,76%;0,89%;0,41%;0,48%;0,50%;0,59%;0,58%
Div;;1.73;1.5;1.3;1.0;0.8;0.66;0.5;0.42
P/L;21.03;29.39;38.6;32.15;56.61;48.02;42.03;28.78;40.63
PEG Ratio;2,31;-;-;-;-;-;-;-;-
P/VP;10,33;15,32;18,10;15,43;25,38;20,87;23,28;18,81;19,83
EV/EBITDA;47,95;20,21;25,99;21,71;37,56;30,93;27,84;20,92;19,91
EV/EBIT;77,90;23,21;30,00;25,22;43,76;37,05;33,50;24,32;22,74
P/EBITDA;43,82;18,95;24,68;20,34;36,49;29,48;25,88;18,65;18,08
P/EBIT;71,19;21,76;28,49;23,63;42,52;35,32;31,15;21,68;20,65
VPA;12,25;10,64;10,90;9,50;9,61;7,93;5,69;4,55;3,63
P/Ativo;3,68;5,13;6,33;4,55;8,30;5,78;5,46;3,81;4,09
LPA;6.02;5.54;5.11;4.56;4.31;3.45;3.15;2.97;1.77
P/SR;5,93;7,89;10,59;8,41;14,83;11,78;10,07;7,06;6,61
P/Cap. Giro;11,67;28,39;20,31;15,67;22,47;17,71;21,43;12,94;11,24
P/Ativo Circ. Liq.;-6,50;-8,86;-11,39;-9,16;-16,55;-11,24;-9,27;-6,44;-8,03
Dív. líquida/PL;0,97;1,02;0,96;1,04;0,74;1,02;1,76;2,30;2,01
Dív. líquida/EBITDA;4,13;1,26;1,31;1,37;1,06;1,44;1,96;2,28;1,83
Dív. líquida/EBIT;6,71;1,45;1,51;1,59;1,24;1,73;2,36;2,65;2,09
PL/Ativos;0,36;0,34;0,35;0,30;0,33;0,28;0,23;0,20;0,21
Passivos/Ativos;0,64;0,66;0,65;0,70;0,67;0,72;0,77;0,80;0,79
Liq. corrente;3,64;1,75;3,36;2,37;3,86;3,05;2,63;3,60;3,85
M. Bruta;17,13%;70,62%;70,03%;69,63%;70,38%;69,18%;68,18%;67,19%;66,55%
M. EBITDA;13,54%;41,65%;42,91%;41,36%;40,64%;39,97%;38,91%;37,84%;36,59%
M. EBIT;8,33%;36,28%;37,16%;35,61%;34,88%;33,36%;32,33%;32,55%;32,03%
M. Líquida;28,21%;26,86%;27,43%;26,16%;26,20%;24,54%;23,96%;24,52%;16,28%
ROE;49,11%;52,12%;46,91%;47,99%;44,84%;43,46%;55,39%;65,35%;48,81%
ROA;17,49%;17,46%;16,41%;14,16%;14,65%;12,04%;12,99%;13,25%;10,06%
ROIC;0,81%;23,43%;21,79%;18,56%;19,82%;16,63%;18,31%;18,31%;15,04%
Giro ativos;0,62;0,65;0,60;0,54;0,56;0,49;0,54;0,54;0,62
CAGR Receitas 5 anos;8,14%;7,96%;8,77%;9,73%;6,97%;5,52%;5,01%;4,12%;2,92%
CAGR Lucros 5 anos;10,63%;10,42%;19,60%;19,93%;37,03%;20,80%;23,16%;14,66%;27,36%
