;ticket;valor_intrinseco;desconto;preco_inicio;preco_fim;variacao_percentual
0;NVDA;357.71;-50.72;176.29;176.29;0.0
1;AAPL;10580.33;-97.41;274.11;274.11;0.0
2;MSFT;433.56;9.520000000000001;474.82;474.82;0.0
3;AMZN;3652.0;-93.91000000000001;222.54;222.54;0.0
4;GOOGL;379.08;-18.69;308.22;308.22;0.0
5;GOOG;379.08;-18.4;309.32;309.32;0.0
6;AVGO;0.0;inf;339.16;339.16;0.0
7;META;19486.44;-96.67999999999999;647.51;647.51;0.0
8;TSLA;303.84;56.43;475.31;475.31;0.0
9;BRK-B;10472.72;-95.16;506.38;506.38;0.0
10;LLY;18330.65;-94.21000000000001;1062.19;1062.19;0.0
11;WMT;1561.3;-92.52;116.79;116.79;0.0
12;JPM;10899.23;-97.08;318.58;318.58;0.0
13;V;333.79;3.92;346.89;346.89;0.0
14;ORCL;3171.79;-94.19;184.43;184.43;0.0
15;MA;1609.06;-64.68;568.28;568.28;0.0
16;XOM;84.48;39.39;117.76;117.76;0.0
17;JNJ;7146.03;-97.0;214.17;214.17;0.0
18;PLTR;200.09;-8.42;183.25;183.25;0.0
19;BAC;1350.57;-95.89999999999999;55.33;55.33;0.0
20;ABBV;7.91;2775.47;227.45;227.45;0.0
21;COST;12393.94;-93.06;860.56;860.56;0.0
22;NFLX;936.13;-89.98;93.77;93.77;0.0
23;MU;3080.2;-92.29;237.4;237.4;0.0
24;HD;0.24;148645.83;356.99;356.99;0.0
25;GE;24880.27;-98.79;300.64;300.64;0.0
26;AMD;840.02;-75.29;207.58;207.58;0.0
27;PG;4293.74;-96.61999999999999;145.13;145.13;0.0
28;CVX;1238.78;-87.91;149.8;149.8;0.0
29;UNH;8057.96;-95.77;341.1;341.1;0.0
30;CSCO;1198.06;-93.5;77.83;77.83;0.0
31;WFC;2971.48;-96.87;92.9;92.9;0.0
32;MS;4660.09;-96.17999999999999;177.79;177.79;0.0
33;KO;4424.22;-98.4;70.97;70.97;0.0
34;GS;24581.47;-96.38;889.59;889.59;0.0
35;CAT;13889.83;-95.75;589.76;589.76;0.0
36;IBM;8616.32;-96.41999999999999;308.66;308.66;0.0
37;MRK;5152.08;-98.05;100.26;100.26;0.0
38;AXP;10644.29;-96.41;381.72;381.72;0.0
39;LRCX;6045.95;-97.28;164.3;164.3;0.0
40;RTX;1966.18;-90.74;182.11;182.11;0.0
41;CRM;4685.91;-94.58;254.17;254.17;0.0
42;PM;97.13;61.62;156.98;156.98;0.0
43;TMO;13686.2;-95.78999999999999;575.91;575.91;0.0
44;AMAT;5622.66;-95.35;261.27;261.27;0.0
45;TMUS;23892.86;-99.18;196.16;196.16;0.0
46;ABT;6155.17;-97.91;128.47;128.47;0.0
47;C;2259.85;-95.00999999999999;112.8;112.8;0.0
48;MCD;4064241.06;-99.99;318.73;318.73;0.0
49;APP;5098.54;-86.76;675.16;675.16;0.0
