Código;Ação;Tipo;Qtde. Teórica;Part. (%);
ALOS3;ALLOS;ON      NM;466.135.796;0,539;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,351;
ANIM3;ANIMA;ON      NM;256.720.485;0,042;
ASAI3;ASSAI;ON  EJ  NM;1.338.601.375;0,373;
AURE3;AUREN;ON      NM;318.338.365;0,147;
AXIA3;AXIA ENERGIA;ON      N1;1.974.649.558;4,013;
AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,585;
AZZA3;AZZAS 2154;ON      NM;132.447.688;0,124;
B3SA3;B3;ON  EJ  NM;5.196.371.458;2,974;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,853;
BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,922;
BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;3,747;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,209;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,459;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,084;
BRAV3;BRAVA;ON      NM;462.883.017;0,305;
BPAC11;BTGP BANCO;UNT EJ  N2;1.404.794.900;3,042;
CXSE3;CAIXA SEGURI;ON  EDR NM;600.000.000;0,385;
BHIA3;CASAS BAHIA;ON      NM;95.071.856;0,011;
CBAV3;CBA;ON      NM;204.441.277;0,070;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,088;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,826;
COGN3;COGNA ON;ON      NM;1.914.692.857;0,279;
CSMG3;COPASA;ON      NM;188.467.895;0,330;
CPLE3;COPEL;ON  EDJ NM;2.969.191.078;1,506;
CSAN3;COSAN;ON      NM;1.802.521.475;0,370;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,398;
CMIN3;CSNMINERACAO;ON  EDJ N2;1.646.519.336;0,358;
CURY3;CURY S/A;ON      NM;160.988.231;0,215;
CVCB3;CVC BRASIL;ON      NM;446.924.627;0,045;
CYRE3;CYRELA REALT;ON  EB  NM;256.055.995;0,251;
CYRE4;CYRELA REALT;PN      NM;48.543.949;0,045;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,179;
ECOR3;ECORODOVIAS;ON      NM;328.954.615;0,143;
EMBJ3;EMBRAER;ON      NM;722.766.139;2,742;
ENGI11;ENERGISA;UNT     N2;358.053.350;0,674;
ENEV3;ENEVA;ON      NM;1.912.889.086;1,572;
EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,438;
EQTL3;EQUATORIAL;ON  EJ  NM;1.250.951.305;1,925;
EZTC3;EZTEC;ON      NM;121.216.090;0,070;
FLRY3;FLEURY;ON      NM;447.150.822;0,274;
GGBR4;GERDAU;PN      N1;1.263.524.206;1,052;
GOAU4;GERDAU MET;PN      N1;830.615.826;0,302;
GGPS3;GPS;ON      NM;433.010.168;0,300;
GMAT3;GRUPO MATEUS;ON      NM;457.887.353;0,081;
HAPV3;HAPVIDA;ON      NM;287.507.905;0,174;
HYPE3;HYPERA;ON      NM;296.007.718;0,276;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,222;
INTB3;INTELBRAS;ON      NM;114.061.681;0,052;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,166;
ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,418;
ITSA4;ITAUSA;PN      N1;5.970.522.444;2,861;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;8,438;
KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,587;
RENT3;LOCALIZA;ON  EB  NM;977.042.684;1,671;
LREN3;LOJAS RENNER;ON      NM;981.927.306;0,517;
LWSA3;LWSA;ON      NM;380.656.363;0,065;
MGLU3;MAGAZ LUIZA;ON  EB  NM;373.185.407;0,131;
POMO4;MARCOPOLO;PN      N2;727.730.867;0,171;
MBRF3;MARFRIG;ON      NM;767.248.368;0,577;
BEEF3;MINERVA;ON      NM;439.073.587;0,092;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,616;
MOVI3;MOVIDA;ON      NM;121.834.637;0,048;
MRVE3;MRV;ON      NM;374.670.758;0,121;
MULT3;MULTIPLAN;ON  EJ  N2;320.022.221;0,363;
NATU3;NATURA;ON  ATZ NM;838.359.453;0,244;
NEOE3;NEOENERGIA;ON  EDJ NM;195.592.180;0,248;
PCAR3;P.ACUCAR-CBD;ON  ATZ NM;433.412.603;0,066;
PETR3;PETROBRAS;ON      N2;3.478.483.761;4,391;
PETR4;PETROBRAS;PN      N2;4.410.960.450;5,290;
RECV3;PETRORECSA;ON  ED  NM;274.630.892;0,111;
PRIO3;PETRORIO;ON      NM;762.017.253;1,287;
PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,340;
RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,244;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,040;
RAPT4;RANDON PART;PN      N1;176.793.154;0,044;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,779;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,717;
SBSP3;SABESP;ON      NM;703.760.624;3,662;
SAPR11;SANEPAR;UNT EJ  N2;201.077.478;0,347;
SANB11;SANTANDER BR;UNT EJ;360.347.199;0,487;
SMTO3;SAO MARTINHO;ON      NM;123.583.436;0,073;
CSNA3;SID NACIONAL;ON;727.975.012;0,283;
SIMH3;SIMPAR;ON      NM;219.019.512;0,047;
SLCE3;SLC AGRICOLA;ON  EB  NM;222.404.640;0,128;
SMFT3;SMART FIT;ON      NM;467.471.342;0,429;
SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,237;
TAEE11;TAESA;UNT     N2;218.568.234;0,347;
VIVT3;TELEF BRASIL;ON  EJ;738.065.812;0,976;
