Código;Ação;Tipo;Qtde. Teórica;Part. (%);
ABCB4;ABC BRASIL;PN  EJS N2;100.192.600;0,498;
AURE3;AUREN;ON      NM;399.187.886;0,993;
BRSR6;BANRISUL;PNB EJ  N1;253.975.336;0,811;
BBSE3;BBSEGURIDADE;ON      NM;772.681.953;5,854;
BRBI11;BR PARTNERS;UNT     N2;59.235.273;0,248;
BBDC3;BRADESCO;ON  EJ  N1;1.417.668.602;4,635;
BBDC4;BRADESCO;PN  EJ  N1;1.186.333.043;4,522;
BRAP4;BRADESPAR;PN  EDJ N1;314.713.672;1,313;
BBAS3;BRASIL;ON      NM;1.023.600.703;4,702;
AGRO3;BRASILAGRO;ON      NM;79.602.852;0,333;
CXSE3;CAIXA SEGURI;ON      NM;752.384.124;2,621;
CMIG4;CEMIG;PN  EDJ N1;2.387.638.220;5,604;
CSMG3;COPASA;ON  EJ  NM;236.333.753;2,175;
CPFE3;CPFL ENERGIA;ON      NM;235.411.635;2,629;
CMIN3;CSNMINERACAO;ON      N2;2.064.691.682;2,358;
CURY3;CURY S/A;ON      NM;169.433.675;1,144;
DIRR3;DIRECIONAL;ON      NM;408.344.174;1,209;
EGIE3;ENGIE BRASIL;ON  EJ  NM;448.047.695;2,946;
EVEN3;EVEN;ON      NM;233.809.580;0,381;
FESA4;FERBASA;PN      N1;201.272.408;0,292;
FLRY3;FLEURY;ON      NM;560.741.256;1,763;
GOAU4;GERDAU MET;PN  EB  N1;1.041.569.265;1,965;
GRND3;GRENDENE;ON  ED  NM;336.101.734;0,324;
RANI3;IRANI;ON      NM;125.353.931;0,228;
ISAE4;ISA ENERGIA;PN  EJ  N1;496.324.036;2,865;
ITSA4;ITAUSA;PN  EB  N1;1.720.571.448;4,211;
ITUB3;ITAUUNIBANCO;ON  EJB N1;571.976.157;4,356;
ITUB4;ITAUUNIBANCO;PN  EJB N1;473.494.605;3,891;
JHSF3;JHSF PART;ON      NM;352.088.342;0,585;
KEPL3;KEPLER WEBER;ON      NM;217.030.463;0,448;
KLBN11;KLABIN S/A;UNT EB  N2;784.364.415;3,084;
LAVV3;LAVVI;ON      NM;93.082.617;0,312;
POMO4;MARCOPOLO;PN  EB  N2;912.555.251;1,141;
MBRF3;MARFRIG;ON      NM;236.438.185;0,990;
LEVE3;METAL LEVE;ON      NM;66.292.409;0,474;
ODPV3;ODONTOPREV;ON  EDJ NM;316.276.605;0,742;
PGMN3;PAGUE MENOS;ON  EJS NM;291.766.286;0,372;
PETR3;PETROBRAS;ON  EDJ N2;652.304.901;4,453;
PETR4;PETROBRAS;PN  EDJ N2;743.798.544;4,804;
RECV3;PETRORECSA;ON      NM;344.492.136;0,817;
SAPR11;SANEPAR;UNT EJ  N2;252.145.837;2,099;
CSNA3;SID NACIONAL;ON;912.861.403;1,710;
SYNE3;SYN PROP TEC;ON      NM;74.462.500;0,079;
TAEE11;TAESA;UNT     N2;274.078.782;2,419;
TGMA3;TEGMA;ON      NM;40.128.506;0,311;
TIMS3;TIM;ON  EDJ NM;716.379.159;3,204;
UNIP6;UNIPAR;PNB;62.156.904;0,755;
VALE3;VALE;ON      NM;353.860.641;5,337;
VLID3;VALID;ON      NM;95.493.606;0,428;
VULC3;VULCABRAS;ON  ED  NM;134.587.356;0,565;
