#;Company;Código;Weight;Price;Chg;% Chg;
1;Nvidia;NVDA;13.24%;184.94;0.08;(0.04%);
2;Apple Inc.;AAPL;11.27%;260.25;0.88;(0.34%);
3;Microsoft;MSFT;10.45%;477.18;-2.10;(-0.44%);
4;Amazon;AMZN;7.76%;246.47;-0.91;(-0.37%);
5;Alphabet Inc. (Class A);GOOGL;6.11%;331.86;3.29;(1.00%);
6;Alphabet Inc. (Class C);GOOG;5.70%;332.73;3.59;(1.09%);
7;Broadcom Inc.;AVGO;4.92%;352.21;7.24;(2.10%);
8;Meta Platforms;META;4.77%;641.97;-11.09;(-1.70%);
9;Tesla, Inc.;TSLA;4.40%;448.96;3.95;(0.89%);
10;ASML Holding;ASML;1.46%;1,281.23;7.35;(0.58%);
11;Palantir Technologies;PLTR;1.26%;179.41;1.92;(1.08%);
12;Costco;COST;1.23%;943.08;18.20;(1.97%);
13;Micron Technology;MU;1.15%;345.87;0.78;(0.23%);
14;Netflix;NFLX;1.12%;89.41;-0.05;(-0.06%);
15;Advanced Micro Devices Inc.;AMD;1.00%;207.69;4.52;(2.22%);
16;Cisco;CSCO;0.86%;74.01;0.13;(0.18%);
17;AstraZeneca;AZN;0.86%;93.63;-1.02;(-1.08%);
18;Lam Research;LRCX;0.82%;220.40;2.04;(0.93%);
19;Applied Materials;AMAT;0.72%;307.24;6.06;(2.01%);
20;Applovin Corp;APP;0.66%;658.65;10.93;(1.69%);
21;T-Mobile US;TMUS;0.65%;197.51;-3.05;(-1.52%);
22;Shopify;SHOP;0.64%;167.93;3.45;(2.10%);
23;Intel;INTC;0.62%;44.06;-1.49;(-3.27%);
24;Linde plc;LIN;0.61%;443.63;-0.45;(-0.10%);
25;Intuitive Surgical;ISRG;0.60%;572.75;-13.50;(-2.30%);
26;PepsiCo;PEP;0.57%;141.36;1.45;(1.04%);
27;KLA Corporation;KLAC;0.55%;1,428.17;28.17;(2.01%);
28;Qualcomm;QCOM;0.53%;169.27;-8.51;(-4.79%);
29;Intuit;INTU;0.52%;635.44;-11.46;(-1.77%);
30;Amgen;AMGN;0.52%;325.54;-0.56;(-0.17%);
31;Booking Holdings;BKNG;0.51%;5,391.52;-100.59;(-1.83%);
32;Texas Instruments;TXN;0.51%;189.07;-1.24;(-0.65%);
33;PDD Holdings;PDD;0.50%;118.73;-1.82;(-1.51%);
34;Gilead Sciences;GILD;0.45%;122.60;1.50;(1.24%);
35;Analog Devices;ADI;0.42%;293.86;-7.07;(-2.35%);
36;Adobe Inc.;ADBE;0.40%;327.65;-6.30;(-1.89%);
37;Honeywell;HON;0.39%;208.60;1.22;(0.59%);
38;Palo Alto Networks;PANW;0.39%;188.88;-0.14;(-0.07%);
39;Constellation Energy;CEG;0.36%;335.86;-6.66;(-1.94%);
40;Arm Holdings;ARM;0.35%;111.14;-0.65;(-0.58%);
41;CrowdStrike;CRWD;0.35%;466.99;-3.62;(-0.77%);
42;Vertex Pharmaceuticals;VRTX;0.34%;460.59;-3.27;(-0.70%);
43;MercadoLibre;MELI;0.32%;2,149.90;-28.51;(-1.31%);
44;ADP;ADP;0.31%;262.80;-3.22;(-1.21%);
45;Comcast;CMCSA;0.31%;29.06;0.69;(2.43%);
46;Starbucks;SBUX;0.30%;89.96;1.08;(1.22%);
47;Synopsys;SNPS;0.30%;533.42;8.24;(1.57%);
48;DoorDash;DASH;0.27%;214.87;-0.69;(-0.32%);
49;Cadence Design Systems;CDNS;0.26%;325.51;-1.80;(-0.55%);
50;Marriott International;MAR;0.26%;323.35;-4.83;(-1.47%);
51;Airbnb;ABNB;0.25%;138.51;-0.76;(-0.55%);
52;Regeneron Pharmaceuticals;REGN;0.24%;768.00;-28.55;(-3.58%);
53;O'Reilly Automotive;ORLY;0.24%;95.60;1.80;(1.92%);
54;Cintas;CTAS;0.23%;193.03;-0.09;(-0.05%);
55;Monster Beverage;MNST;0.22%;77.50;0.16;(0.21%);
56;Mondelez International;MDLZ;0.21%;54.92;-0.17;(-0.31%);
57;Warner Bros. Discovery;WBD;0.21%;28.40;-0.49;(-1.68%);
58;Marvell Technology;MRVL;0.21%;82.89;-0.33;(-0.40%);
59;CSX Corporation;CSX;0.19%;35.22;0.02;(0.06%);
60;American Electric Power;AEP;0.18%;116.57;-0.34;(-0.29%);
61;Paccar;PCAR;0.18%;118.46;-0.34;(-0.29%);
62;Ross Stores;ROST;0.18%;192.26;0.82;(0.43%);
63;NXP Semiconductors;NXPI;0.18%;238.33;-2.82;(-1.17%);
64;Autodesk;ADSK;0.17%;277.89;1.87;(0.68%);
65;Fortinet;FTNT;0.17%;78.66;-0.56;(-0.71%);
66;Idexx Laboratories;IDXX;0.17%;724.76;11.41;(1.60%);
67;Thomson Reuters Corporation;TRI;0.17%;128.91;-0.32;(-0.25%);
68;Workday, Inc.;WDAY;0.16%;207.91;0.72;(0.35%);
69;PayPal;PYPL;0.16%;57.29;-0.37;(-0.64%);
70;Electronic Arts;EA;0.15%;204.25;0.15;(0.07%);
71;Axon Enterprise Inc.;AXON;0.15%;631.73;0.04;(0.01%);
72;Fastenal;FAST;0.14%;41.70;-0.28;(-0.67%);
73;Baker Hughes;BKR;0.14%;47.95;-2.02;(-4.04%);
74;MicroStrategy Inc.;MSTR;0.14%;162.23;4.90;(3.11%);
75;Roper Technologies;ROP;0.14%;432.39;-2.42;(-0.56%);
76;Take-Two Interactive;TTWO;0.14%;248.92;-1.79;(-0.71%);
77;Datadog;DDOG;0.13%;126.57;1.08;(0.86%);
78;Xcel Energy;XEL;0.13%;74.00;-0.26;(-0.35%);
79;Exelon;EXC;0.13%;42.90;-0.40;(-0.92%);
80;Diamondback Energy;FANG;0.12%;147.56;0.15;(0.10%);
81;Cognizant;CTSH;0.12%;85.23;-0.03;(-0.04%);
82;Paychex;PAYX;0.12%;112.69;-1.08;(-0.95%);
83;Microchip Technology;MCHP;0.12%;73.39;-1.83;(-2.43%);
85;Coca-Cola Europacific Partners;CCEP;0.12%;87.89;-0.85;(-0.96%);
86;Copart;CPRT;0.11%;39.92;0.09;(0.23%);
87;Atlassian;TEAM;0.11%;146.44;0.02;(0.01%);
88;Keurig Dr Pepper;KDP;0.11%;27.70;-0.09;(-0.32%);
89;Old Dominion Freight Line;ODFL;0.11%;173.57;0.44;(0.25%);
90;Zscaler;ZS;0.10%;216.63;-0.10;(-0.05%);
91;Verisk;VRSK;0.09%;224.82;-0.05;(-0.02%);
92;Kraft Heinz;KHC;0.08%;23.39;-0.03;(-0.13%);
93;DexCom;DXCM;0.08%;70.98;3.58;(5.31%);
94;Biogen;BIIB;0.08%;185.63;-1.99;(-1.06%);
95;Charter Communications;CHTR;0.08%;206.67;-3.92;(-1.86%);
96;CoStar Group;CSGP;0.07%;59.30;0.81;(1.38%);
97;Lululemon Athletica;LULU;0.07%;209.04;5.14;(2.52%);
98;Onsemi;ON;0.07%;58.75;-3.41;(-5.49%);
99;GlobalFoundries;GFS;0.07%;39.89;0.15;(0.38%);
100;Trade Desk (The);TTD;0.05%;36.90;-0.39;(-1.05%);
101;CDW Corporation;CDW;0.05%;133.50;0.01;(0.01%);
