#;Company;Código;Weight;Price;Chg;% Chg
1;Nvidia;NVDA;7.34%;189.74;2.50;(1.34%)
2;Apple Inc.;AAPL;6.16%;261.71;-0.65;(-0.25%)
3;Microsoft;MSFT;5.75%;485.67;7.16;(1.50%)
4;Amazon;AMZN;4.14%;243.29;2.35;(0.98%)
5;Alphabet Inc. (Class A);GOOGL;3.21%;322.64;8.30;(2.64%)
6;Alphabet Inc. (Class C);GOOG;2.99%;323.18;8.63;(2.74%)
7;Broadcom;AVGO;2.62%;346.50;2.73;(0.79%)
8;Meta Platforms;META;2.61%;650.05;-10.57;(-1.60%)
9;Tesla, Inc.;TSLA;2.30%;435.00;2.04;(0.47%)
10;Berkshire Hathaway;BRK-B;1.70%;494.28;-4.77;(-0.96%)
11;Lilly (Eli);LLY;1.57%;1,101.22;37.18;(3.49%)
12;Walmart;WMT;1.44%;113.60;-0.74;(-0.65%)
13;JPMorgan Chase;JPM;1.42%;326.74;-7.87;(-2.35%)
14;Visa Inc.;V;1.09%;355.79;-1.77;(-0.50%)
15;Oracle Corporation;ORCL;0.88%;193.35;-0.40;(-0.20%)
16;Mastercard;MA;0.84%;584.02;3.68;(0.63%)
17;ExxonMobil;XOM;0.80%;119.11;-1.94;(-1.60%)
18;Johnson & Johnson;JNJ;0.79%;206.46;1.67;(0.82%)
19;Palantir Technologies;PLTR;0.70%;183.97;4.26;(2.37%)
20;Bank of America;BAC;0.65%;55.80;-1.45;(-2.53%)
21;AbbVie;ABBV;0.64%;228.64;4.71;(2.11%)
22;Costco;COST;0.62%;883.36;-5.74;(-0.65%)
23;Netflix;NFLX;0.61%;90.50;-0.15;(-0.17%)
24;Micron Technology;MU;0.61%;339.01;-4.42;(-1.29%)
25;Home Depot (The);HD;0.56%;350.79;1.50;(0.43%)
26;GE Aerospace;GE;0.55%;327.15;-0.39;(-0.12%)
27;Advanced Micro Devices;AMD;0.54%;209.19;-5.16;(-2.41%)
28;Procter & Gamble;PG;0.51%;138.18;-1.73;(-1.23%)
29;Chevron Corporation;CVX;0.50%;156.07;-0.47;(-0.30%)
30;UnitedHealth Group;UNH;0.49%;340.31;-8.67;(-2.48%)
31;Cisco;CSCO;0.47%;75.08;-0.16;(-0.21%)
32;Wells Fargo;WFC;0.47%;94.14;-2.25;(-2.33%)
33;Morgan Stanley;MS;0.47%;185.23;-2.52;(-1.34%)
34;Coca-Cola Company (The);KO;0.46%;67.41;-0.43;(-0.63%)
35;Goldman Sachs;GS;0.45%;943.08;-12.39;(-1.30%)
36;Caterpillar Inc.;CAT;0.45%;604.41;-18.68;(-3.00%)
37;IBM;IBM;0.44%;298.63;-3.84;(-1.27%)
38;Merck & Co.;MRK;0.43%;108.24;-0.63;(-0.58%)
39;American Express;AXP;0.42%;381.56;-2.00;(-0.52%)
40;Lam Research;LRCX;0.41%;203.32;-3.64;(-1.76%)
41;RTX Corporation;RTX;0.41%;189.80;-0.60;(-0.32%)
42;Salesforce;CRM;0.40%;267.16;4.26;(1.62%)
43;Philip Morris International;PM;0.39%;156.21;1.05;(0.67%)
44;Thermo Fisher Scientific;TMO;0.37%;619.57;-1.15;(-0.19%)
45;Applied Materials;AMAT;0.37%;292.25;-3.76;(-1.27%)
46;T-Mobile US;TMUS;0.35%;197.02;-1.58;(-0.80%)
47;Abbott Laboratories;ABT;0.35%;126.41;-1.37;(-1.07%)
48;Citigroup;C;0.35%;121.37;-1.13;(-0.92%)
49;McDonald's;MCD;0.35%;304.21;1.44;(0.47%)
50;AppLovin Corporation;APP;0.34%;636.16;18.92;(3.07%)
51;Intuitive Surgical;ISRG;0.33%;593.19;0.34;(0.06%)
52;Linde plc;LIN;0.33%;437.18;0.02;(0.00%)
53;Intel;INTC;0.32%;42.78;2.74;(6.83%)
54;Walt Disney Company (The);DIS;0.32%;113.53;-1.04;(-0.91%)
55;Qualcomm;QCOM;0.30%;177.57;-4.88;(-2.67%)
