key_item,status,mensagem_excecao
1,COMPLETO,
2,COMPLETO,
3,COMPLETO,
4,COMPLETO,
5,COMPLETO,
6,COMPLETO,
7,COMPLETO,
8,COMPLETO,
9,COMPLETO,
10,COMPLETO,
11,COMPLETO,
12,COMPLETO,
13,COMPLETO,
14,COMPLETO,
15,COMPLETO,
16,COMPLETO,
17,COMPLETO,
18,COMPLETO,
19,COMPLETO,
20,COMPLETO,
21,COMPLETO,
22,COMPLETO,
23,COMPLETO,
24,COMPLETO,
25,COMPLETO,
26,COMPLETO,
27,COMPLETO,
28,COMPLETO,
29,COMPLETO,
30,COMPLETO,
31,COMPLETO,
32,COMPLETO,
33,COMPLETO,
34,COMPLETO,
35,COMPLETO,
36,COMPLETO,
37,COMPLETO,
38,COMPLETO,
39,COMPLETO,
40,COMPLETO,
41,COMPLETO,
42,COMPLETO,
43,COMPLETO,
44,COMPLETO,
45,COMPLETO,
46,COMPLETO,
47,COMPLETO,
48,COMPLETO,
49,COMPLETO,
50,COMPLETO,
