id,status,tentativas,duracao_seg,erro
1,COMPLETO,1,1.109624,
2,COMPLETO,1,1.224819,
3,COMPLETO,1,1.254118,
4,COMPLETO,1,1.106863,
5,COMPLETO,1,1.168177,
6,COMPLETO,1,1.135409,
7,COMPLETO,1,1.315915,
8,COMPLETO,1,1.410019,
9,COMPLETO,1,1.320407,
10,COMPLETO,1,1.061581,
11,COMPLETO,1,1.221475,
12,COMPLETO,1,1.377112,
13,COMPLETO,1,1.278943,
14,COMPLETO,1,1.217105,
15,COMPLETO,1,1.319424,
16,COMPLETO,1,1.191914,
17,COMPLETO,1,0.304573,
18,COMPLETO,1,0.315919,
19,COMPLETO,1,0.282048,
20,COMPLETO,1,0.303532,
21,COMPLETO,1,0.309551,
22,COMPLETO,1,0.362368,
23,COMPLETO,1,0.355686,
24,COMPLETO,1,0.31809,
25,COMPLETO,1,0.307039,
26,COMPLETO,1,0.321138,
27,COMPLETO,1,0.29412,
28,COMPLETO,1,0.296814,
29,COMPLETO,1,0.281387,
30,COMPLETO,1,0.25604,
31,COMPLETO,1,0.317337,
32,COMPLETO,1,0.295354,
33,COMPLETO,1,0.330821,
34,COMPLETO,1,0.273869,
35,COMPLETO,1,0.504051,
36,COMPLETO,1,0.296297,
37,COMPLETO,1,0.277373,
38,COMPLETO,1,0.287806,
39,COMPLETO,1,0.298428,
40,COMPLETO,1,0.250021,
41,COMPLETO,1,0.280467,
42,COMPLETO,1,0.269276,
43,COMPLETO,1,0.245976,
44,COMPLETO,1,0.288037,
45,COMPLETO,1,0.265552,
46,COMPLETO,1,0.303031,
47,COMPLETO,1,0.28503,
48,COMPLETO,1,0.288876,
49,COMPLETO,1,0.294973,
50,COMPLETO,1,0.4684,
